"T0","T","gini"
5.5,5.5,0
5.5,5.66306164489796,0.277777777777778
5.5,5.82612328979592,0.585416666666667
5.5,5.98918493469388,0.682795698924731
5.5,6.15224657959184,0.739233038348083
5.5,6.3153082244898,0.780350877192982
5.5,6.47836986938776,0.789677419354839
5.5,6.64143151428571,0.808465608465608
5.5,6.80449315918367,0.822374429223744
5.5,6.96755480408163,0.833219567690557
5.5,7.13061644897959,0.841182834475298
5.5,7.29367809387755,0.847146896029945
5.5,7.45673973877551,0.850547525186159
5.5,7.61980138367347,0.854145072576001
5.5,7.78286302857143,0.856154786393584
5.5,7.94592467346939,0.857787203467418
5.5,8.10898631836735,0.859609029294796
5.5,8.2720479632653,0.861219040603996
5.5,8.43510960816326,0.861847837943624
5.5,8.59817125306122,0.862627023780271
5.5,8.76123289795918,0.863192008003269
5.5,8.92429454285714,0.863688346484994
5.5,9.0873561877551,0.864341502248424
5.5,9.25041783265306,0.865036874910787
5.5,9.41347947755102,0.865500721305181
5.5,9.57654112244898,0.866057917026314
5.5,9.73960276734694,0.866485496141613
5.5,9.9026644122449,0.866831190624186
5.5,10.0657260571429,0.867324529579645
5.5,10.2287877020408,0.867799403786869
5.5,10.3918493469388,0.868260355176386
5.5,10.5549109918367,0.868763926001178
5.5,10.7179726367347,0.869123648515825
5.5,10.8810342816327,0.869625210675009
5.5,11.0440959265306,0.870113837807821
5.5,11.2071575714286,0.870625717608074
5.5,11.3702192163265,0.871143380651776
5.5,11.5332808612245,0.871739341751722
5.5,11.6963425061224,0.872273424107763
5.5,11.8594041510204,0.872772312300134
5.5,12.0224657959184,0.873318253237672
5.5,12.1855274408163,0.873774921610357
5.5,12.3485890857143,0.874308632921671
5.5,12.5116507306122,0.874766704811185
5.5,12.6747123755102,0.875245778877437
5.5,12.8377740204082,0.875770844373386
5.5,13.0008356653061,0.876301040280717
5.5,13.1638973102041,0.87679805288488
5.5,13.326958955102,0.87723493734018
5.5,13.4900206,0.87769720243424
6,6,0
6,6.15285756326531,0.29725670804966
6,6.30571512653061,0.418789543789544
6,6.45857268979592,0.505678613546634
6,6.61143025306122,0.577000239549647
6,6.76428781632653,0.638083653435766
6,6.91714537959184,0.676612691289142
6,7.07000294285714,0.707438950762393
6,7.22286050612245,0.731463068181818
6,7.37571806938776,0.751163441167369
6,7.52857563265306,0.766004290694556
6,7.68143319591837,0.777455001139212
6,7.83429075918367,0.787800253321069
6,7.98714832244898,0.795735286611199
6,8.14000588571428,0.803362049217881
6,8.29286344897959,0.808878429545216
6,8.4457210122449,0.812359471795697
6,8.5985785755102,0.814643785070195
6,8.75143613877551,0.81697927595932
6,8.90429370204082,0.818970473631464
6,9.05715126530612,0.821151980797763
6,9.21000882857143,0.822731402500801
6,9.36286639183673,0.824119807447005
6,9.51572395510204,0.82479567915136
6,9.66858151836735,0.825452325452325
6,9.82143908163265,0.826136370988755
6,9.97429664489796,0.82665474134254
6,10.1271542081633,0.827534194901434
6,10.2800117714286,0.82819202688051
6,10.4328693346939,0.828427502173212
6,10.5857268979592,0.828749259986632
6,10.7385844612245,0.829337021175309
6,10.8914420244898,0.829594113243557
6,11.0442995877551,0.82998689647294
6,11.1971571510204,0.830318864993828
6,11.3500147142857,0.830427260237482
6,11.502872277551,0.830543055015339
6,11.6557298408163,0.830679159071483
6,11.8085874040816,0.830853372762203
6,11.9614449673469,0.831031819029284
6,12.1143025306122,0.83087928226212
6,12.2671600938775,0.830782979528582
6,12.4200176571429,0.830598820828327
6,12.5728752204082,0.830452189344573
6,12.7257327836735,0.830152344342437
6,12.8785903469388,0.829847640781624
6,13.0314479102041,0.829390575816918
6,13.1843054734694,0.828829622081959
6,13.3371630367347,0.82818762359915
6,13.4900206,0.827670518061794
6.5,6.5,0
6.5,6.64265348163265,0.280939773213522
6.5,6.78530696326531,0.406409473441876
6.5,6.92796044489796,0.4805649965779
6.5,7.07061392653061,0.534438050949428
6.5,7.21326740816327,0.578166654849688
6.5,7.35592088979592,0.607060882871186
6.5,7.49857437142857,0.625293523359945
6.5,7.64122785306122,0.649357023046684
6.5,7.78388133469388,0.667737469045079
6.5,7.92653481632653,0.678631932382513
6.5,8.06918829795918,0.68708261065143
6.5,8.21184177959184,0.696108897876521
6.5,8.35449526122449,0.701864171061167
6.5,8.49714874285714,0.705445557924349
6.5,8.6398022244898,0.709791316116057
6.5,8.78245570612245,0.712655337906329
6.5,8.9251091877551,0.715473930255473
6.5,9.06776266938775,0.718394109186792
6.5,9.21041615102041,0.720896492612976
6.5,9.35306963265306,0.723037889447323
6.5,9.49572311428571,0.724412750695931
6.5,9.63837659591837,0.725918694370278
6.5,9.78103007755102,0.727220162218704
6.5,9.92368355918367,0.728646750038998
6.5,10.0663370408163,0.729706897738915
6.5,10.208990522449,0.731128283053581
6.5,10.3516440040816,0.732227965006058
6.5,10.4942974857143,0.733288754250782
6.5,10.6369509673469,0.734695046565753
6.5,10.7796044489796,0.735844698413496
6.5,10.9222579306122,0.736957463953857
6.5,11.0649114122449,0.73832741045401
6.5,11.2075648938775,0.739735615385652
6.5,11.3502183755102,0.74087526196525
6.5,11.4928718571429,0.742088156658708
6.5,11.6355253387755,0.743036908645911
6.5,11.7781788204082,0.744214189873798
6.5,11.9208323020408,0.745312626155026
6.5,12.0634857836735,0.7462815694461
6.5,12.2061392653061,0.746962032395051
6.5,12.3487927469388,0.747736188925662
6.5,12.4914462285714,0.748420282909821
6.5,12.6340997102041,0.748959030296634
6.5,12.7767531918367,0.749434723958785
6.5,12.9194066734694,0.749805656241876
6.5,13.062060155102,0.750373530061598
6.5,13.2047136367347,0.750790376879967
6.5,13.3473671183673,0.751026431969989
6.5,13.4900206,0.751316560165492
7,7,0
7,7.1324494,0.233699455008722
7,7.2648988,0.364005349043712
7,7.3973482,0.442917775634378
7,7.5297976,0.50088895805679
7,7.662247,0.537103282589742
7,7.7946964,0.571603216314311
7,7.9271458,0.594541108921165
7,8.0595952,0.609923972212108
7,8.1920446,0.625441191523994
7,8.324494,0.636935207296603
7,8.4569434,0.646702882208254
7,8.5893928,0.654500105376523
7,8.7218422,0.662324405231287
7,8.8542916,0.668888225628474
7,8.986741,0.674482769108529
7,9.1191904,0.680674126786404
7,9.2516398,0.685944306615683
7,9.3840892,0.690633017476005
7,9.5165386,0.695452275171934
7,9.648988,0.699692744574259
7,9.7814374,0.703817308921167
7,9.9138868,0.708275442847766
7,10.0463362,0.712335283122344
7,10.1787856,0.716588733054847
7,10.311235,0.720994147006824
7,10.4436844,0.724688982493491
7,10.5761338,0.728325925462478
7,10.7085832,0.731946086130612
7,10.8410326,0.735375993388903
7,10.973482,0.739124918262849
7,11.1059314,0.742468894837045
7,11.2383808,0.745772435172233
7,11.3708302,0.748812536136167
7,11.5032796,0.751815963051125
7,11.635729,0.754689167734761
7,11.7681784,0.757583411571331
7,11.9006278,0.760469974629024
7,12.0330772,0.763030859445582
7,12.1655266,0.76549943747603
7,12.297976,0.767827672202931
7,12.4304254,0.769988046416239
7,12.5628748,0.772115917261988
7,12.6953242,0.774242222391682
7,12.8277736,0.776399381960905
7,12.960223,0.778803284819872
7,13.0926724,0.781324649850113
7,13.2251218,0.783657869663491
7,13.3575712,0.786220924340554
7,13.4900206,0.788264199628335
7.5,7.5,0
7.5,7.62224531836735,0.181058075938651
7.5,7.74449063673469,0.281759711508068
7.5,7.86673595510204,0.359949366068239
7.5,7.98898127346939,0.405265591191736
7.5,8.11122659183673,0.443977029349928
7.5,8.23347191020408,0.469207702725741
7.5,8.35571722857143,0.491835817717012
7.5,8.47796254693877,0.509562204429272
7.5,8.60020786530612,0.526003239288509
7.5,8.72245318367347,0.540144000226741
7.5,8.84469850204082,0.553546292649593
7.5,8.96694382040816,0.564756626891441
7.5,9.08918913877551,0.576520136922857
7.5,9.21143445714286,0.586661931602056
7.5,9.3336797755102,0.596231778976182
7.5,9.45592509387755,0.605420592588571
7.5,9.5781704122449,0.614148597595427
7.5,9.70041573061224,0.62251161673814
7.5,9.82266104897959,0.630402835899002
7.5,9.94490636734694,0.638423338215748
7.5,10.0671516857143,0.646078542082169
7.5,10.1893970040816,0.653803022943876
7.5,10.311642322449,0.66125431119031
7.5,10.4338876408163,0.668200001961292
7.5,10.5561329591837,0.674855992252371
7.5,10.678378277551,0.681337095371149
7.5,10.8006235959184,0.687646237325047
7.5,10.9228689142857,0.693746314326451
7.5,11.0451142326531,0.699561455269729
7.5,11.1673595510204,0.705260553403663
7.5,11.2896048693878,0.710783669786896
7.5,11.4118501877551,0.716085713343022
7.5,11.5340955061224,0.721254126530592
7.5,11.6563408244898,0.726010196836499
7.5,11.7785861428571,0.730609547788516
7.5,11.9008314612245,0.735200690442388
7.5,12.0230767795918,0.739576083491517
7.5,12.1453220979592,0.743648608372055
7.5,12.2675674163265,0.747538731248127
7.5,12.3898127346939,0.751228330998927
7.5,12.5120580530612,0.754862880513107
7.5,12.6343033714286,0.758273060088349
7.5,12.7565486897959,0.761985646122637
7.5,12.8787940081633,0.765529878425839
7.5,13.0010393265306,0.769578807569058
7.5,13.123284644898,0.773376144779357
7.5,13.2455299632653,0.777064216000322
7.5,13.3677752816327,0.781149537387256
7.5,13.4900206,0.784245636105907
8,8,0
8,8.11204123673469,0.122898135513767
8,8.22408247346939,0.202856167368628
8,8.33612371020408,0.262008159811435
8,8.44816494693877,0.306162428153269
8,8.56020618367347,0.337424999257157
8,8.67224742040816,0.363916523070746
8,8.78428865714286,0.386604803689158
8,8.89632989387755,0.405899796755108
8,9.00837113061224,0.424429024475493
8,9.12041236734694,0.441417563981563
8,9.23245360408163,0.456778677968186
