site	n_resolved	n_edited	edit_rate
1	26632919	93172	0.0035
2	27148031	39924	0.0015
3	27908219	28614	0.0010
4	28062191	22491	0.0008
5	28182509	21114	0.0007
6	28292451	22655	0.0008
