site	n_resolved	n_edited	edit_rate
1	13049861	44952	0.0034
2	13370820	32430	0.0024
3	13786959	24629	0.0018
4	13873385	19669	0.0014
5	13939682	17582	0.0013
6	14012926	17349	0.0012
