site	n_resolved	n_edited	edit_rate
1	7506325	4654290	0.6200
2	7325911	2441699	0.3333
3	7438973	1135605	0.1527
4	7598100	499674	0.0658
5	7763727	305954	0.0394
6	7901042	253098	0.0320
