site	n_resolved	n_edited	edit_rate
1	7882227	7562369	0.9594
2	7391332	6727399	0.9102
3	7124236	5855945	0.8220
4	7149406	4963360	0.6942
5	7433768	4387662	0.5902
6	7838685	4172746	0.5323
