"gini","gini_obs"
0.502827412902893,0.788264199628335
0.49636454154715,0.788264199628335
0.504904756765407,0.788264199628335
0.498654743356439,0.788264199628335
0.502097250134069,0.788264199628335
0.499793590478689,0.788264199628335
0.499011169235661,0.788264199628335
0.504138419770806,0.788264199628335
0.49991121011651,0.788264199628335
0.50082580064975,0.788264199628335
0.506147073611,0.788264199628335
0.510839201818032,0.788264199628335
0.497754418286278,0.788264199628335
0.495486870761262,0.788264199628335
0.485585847768132,0.788264199628335
0.49249293870507,0.788264199628335
0.503653671228042,0.788264199628335
0.490816571565923,0.788264199628335
0.495121229442752,0.788264199628335
0.497846301242849,0.788264199628335
0.496412264034526,0.788264199628335
0.501872062055297,0.788264199628335
0.503690306483318,0.788264199628335
0.502717803378382,0.788264199628335
0.50308147557157,0.788264199628335
0.491973585708231,0.788264199628335
0.49751170446285,0.788264199628335
0.491523603300427,0.788264199628335
0.501416122959395,0.788264199628335
0.503623984640096,0.788264199628335
0.496790510512429,0.788264199628335
0.501020873947048,0.788264199628335
0.507716534129958,0.788264199628335
0.49556527545308,0.788264199628335
0.499653213661991,0.788264199628335
0.502696795050573,0.788264199628335
0.492303441487962,0.788264199628335
0.490208022323781,0.788264199628335
0.500646434972432,0.788264199628335
0.501452085368257,0.788264199628335
0.501368367441563,0.788264199628335
0.495880626975955,0.788264199628335
0.497303360321507,0.788264199628335
0.503302440166956,0.788264199628335
0.49894287728692,0.788264199628335
0.502058196394358,0.788264199628335
0.49639477406169,0.788264199628335
0.499891327518576,0.788264199628335
0.505674882015846,0.788264199628335
0.498689625004295,0.788264199628335
0.497275544644331,0.788264199628335
0.497854033439235,0.788264199628335
0.499806966697924,0.788264199628335
0.498252188552589,0.788264199628335
0.503593340422863,0.788264199628335
0.497517124407906,0.788264199628335
0.501665600762133,0.788264199628335
0.491319045749684,0.788264199628335
0.498533787414212,0.788264199628335
0.495648259770784,0.788264199628335
0.503587968488651,0.788264199628335
0.498052102505963,0.788264199628335
0.497531964320816,0.788264199628335
0.503193059183003,0.788264199628335
0.489649606771951,0.788264199628335
0.506167202709591,0.788264199628335
0.503858316688153,0.788264199628335
0.500926534860005,0.788264199628335
0.493522630910894,0.788264199628335
0.493769748091783,0.788264199628335
0.503437002968031,0.788264199628335
0.488847682893092,0.788264199628335
0.490604410820286,0.788264199628335
0.498169006288568,0.788264199628335
0.494555731859282,0.788264199628335
0.488747241523324,0.788264199628335
0.497211740665091,0.788264199628335
0.496211427673556,0.788264199628335
0.500531210643379,0.788264199628335
0.49294404203355,0.788264199628335
0.498865769168195,0.788264199628335
0.498177245181241,0.788264199628335
0.493655146764304,0.788264199628335
0.498733501010239,0.788264199628335
0.499210828146657,0.788264199628335
0.499390153784682,0.788264199628335
0.507177840143775,0.788264199628335
0.495671030490433,0.788264199628335
0.500805988774037,0.788264199628335
0.500654041579882,0.788264199628335
0.50434706052566,0.788264199628335
0.500193808277865,0.788264199628335
0.495365026476055,0.788264199628335
0.484572190222039,0.788264199628335
0.500230701146758,0.788264199628335
0.48846384201328,0.788264199628335
0.503539492304198,0.788264199628335
0.5046571660362,0.788264199628335
0.49898449730211,0.788264199628335
0.507967552296365,0.788264199628335
0.495255174665193,0.788264199628335
0.497798530030186,0.788264199628335
0.498984269243549,0.788264199628335
0.500975638272266,0.788264199628335
0.508386783564662,0.788264199628335
0.501985719492269,0.788264199628335
0.493438704905896,0.788264199628335
0.499541825869539,0.788264199628335
0.498598245523966,0.788264199628335
0.499397129265726,0.788264199628335
0.507540838080834,0.788264199628335
0.490720697475859,0.788264199628335
0.497674789358446,0.788264199628335
0.499864982325371,0.788264199628335
0.500444326631212,0.788264199628335
0.495417431080973,0.788264199628335
0.506216640951863,0.788264199628335
0.489247699831381,0.788264199628335
0.494361716927249,0.788264199628335
0.496265163957852,0.788264199628335
0.501044184588538,0.788264199628335
0.498004462493902,0.788264199628335
0.49413422508512,0.788264199628335
0.499367065029938,0.788264199628335
0.494448132560246,0.788264199628335
0.493966661779049,0.788264199628335
0.494460283791963,0.788264199628335
0.492788486294674,0.788264199628335
0.50383787564751,0.788264199628335
0.490943760511316,0.788264199628335
0.493921759561896,0.788264199628335
0.499522833474189,0.788264199628335
0.489082708553674,0.788264199628335
0.503984746815499,0.788264199628335
0.498773973644634,0.788264199628335
0.506357018982844,0.788264199628335
0.499995118973744,0.788264199628335
0.502178390454837,0.788264199628335
0.503887148346929,0.788264199628335
0.497736753856117,0.788264199628335
0.504723727197411,0.788264199628335
0.50383722511583,0.788264199628335
0.498984985271879,0.788264199628335
0.50261497392881,0.788264199628335
0.504723080903429,0.788264199628335
0.497557268119661,0.788264199628335
0.498232718228743,0.788264199628335
0.5024378262205,0.788264199628335
0.504045015106769,0.788264199628335
0.497054066754389,0.788264199628335
0.497514347043995,0.788264199628335
0.508128937716536,0.788264199628335
0.493106444337525,0.788264199628335
0.497282291167432,0.788264199628335
0.494388493264897,0.788264199628335
