"blastomere","T","major_trajectory","gini","gini_null_median","gini_null_lo","gini_null_hi","diff","diff_hi","blast"
"B1",10.0463362,"CNS_neurons",0.760501927013404,0.478335466258016,0.466247855453151,0.490544521180698,0.282166460755388,0.269957405832706,"Blastomere A"
"B1",10.0463362,"Definitive_erythroid",0.538673071567808,0.478335466258016,0.466247855453151,0.490544521180698,0.0603376053097926,0.0481285503871108,"Blastomere A"
"B1",10.0463362,"Endothelium",0.561647718613795,0.478335466258016,0.466247855453151,0.490544521180698,0.0833122523557791,0.0711031974330973,"Blastomere A"
"B1",10.0463362,"Ependymal_cells",0.394828791055206,0.478335466258016,0.466247855453151,0.490544521180698,-0.0835066752028096,-0.0957157301254914,"Blastomere A"
"B1",10.0463362,"Epithelium",0.719554656017558,0.478335466258016,0.466247855453151,0.490544521180698,0.241219189759542,0.22901013483686,"Blastomere A"
"B1",10.0463362,"Eye_and_other",0.561620622368286,0.478335466258016,0.466247855453151,0.490544521180698,0.0832851561102701,0.0710761011875883,"Blastomere A"
"B1",10.0463362,"Hepatocytes",0.613462522191797,0.478335466258016,0.466247855453151,0.490544521180698,0.135127055933782,0.1229180010111,"Blastomere A"
"B1",10.0463362,"Intermediate_neuronal_progenitors",0.713975308548657,0.478335466258016,0.466247855453151,0.490544521180698,0.235639842290641,0.223430787367959,"Blastomere A"
"B1",10.0463362,"Intestine",0.583505482281901,0.478335466258016,0.466247855453151,0.490544521180698,0.105170016023885,0.092960961101203,"Blastomere A"
"B1",10.0463362,"Lung_and_airway",0.543226872246696,0.478335466258016,0.466247855453151,0.490544521180698,0.0648914059886802,0.0526823510659984,"Blastomere A"
"B1",10.0463362,"Mast_cells",0.272425629290618,0.478335466258016,0.466247855453151,0.490544521180698,-0.205909836967398,-0.21811889189008,"Blastomere A"
"B1",10.0463362,"Megakaryocytes",0.429954856560361,0.478335466258016,0.466247855453151,0.490544521180698,-0.0483806096976547,-0.0605896646203364,"Blastomere A"
"B1",10.0463362,"Mesoderm",0.72661624345682,0.478335466258016,0.466247855453151,0.490544521180698,0.248280777198805,0.236071722276123,"Blastomere A"
"B1",10.0463362,"Muscle_cells",0.669836143597239,0.478335466258016,0.466247855453151,0.490544521180698,0.191500677339224,0.179291622416542,"Blastomere A"
"B1",10.0463362,"Neural_crest_PNS_glia",0.634822122246915,0.478335466258016,0.466247855453151,0.490544521180698,0.156486655988899,0.144277601066217,"Blastomere A"
"B1",10.0463362,"Neural_crest_PNS_neurons",0.646569092829238,0.478335466258016,0.466247855453151,0.490544521180698,0.168233626571222,0.15602457164854,"Blastomere A"
"B1",10.0463362,"Neuroectoderm_and_glia",0.752411484495773,0.478335466258016,0.466247855453151,0.490544521180698,0.274076018237758,0.261866963315076,"Blastomere A"
"B1",10.0463362,"Olfactory_sensory_neurons",0.638857106534452,0.478335466258016,0.466247855453151,0.490544521180698,0.160521640276436,0.148312585353754,"Blastomere A"
"B1",10.0463362,"White_blood_cells",0.517809659266588,0.478335466258016,0.466247855453151,0.490544521180698,0.0394741930085726,0.0272651380858908,"Blastomere A"
"B1",10.1787856,"CNS_neurons",0.765322857185115,0.480767250452982,0.468389550860256,0.492820784332443,0.284555606732133,0.272502072852672,"Blastomere A"
"B1",10.1787856,"Definitive_erythroid",0.549215471629265,0.480767250452982,0.468389550860256,0.492820784332443,0.0684482211762828,0.0563946872968213,"Blastomere A"
"B1",10.1787856,"Endothelium",0.566375036192625,0.480767250452982,0.468389550860256,0.492820784332443,0.0856077857396434,0.0735542518601819,"Blastomere A"
"B1",10.1787856,"Ependymal_cells",0.397998366013072,0.480767250452982,0.468389550860256,0.492820784332443,-0.08276888443991,-0.0948224183193715,"Blastomere A"
"B1",10.1787856,"Epithelium",0.723537901680858,0.480767250452982,0.468389550860256,0.492820784332443,0.242770651227876,0.230717117348414,"Blastomere A"
"B1",10.1787856,"Eye_and_other",0.57478319630589,0.480767250452982,0.468389550860256,0.492820784332443,0.0940159458529085,0.081962411973447,"Blastomere A"
"B1",10.1787856,"Hepatocytes",0.625919247531245,0.480767250452982,0.468389550860256,0.492820784332443,0.145151997078263,0.133098463198801,"Blastomere A"
"B1",10.1787856,"Intermediate_neuronal_progenitors",0.723534625041025,0.480767250452982,0.468389550860256,0.492820784332443,0.242767374588043,0.230713840708581,"Blastomere A"
"B1",10.1787856,"Intestine",0.592281105990783,0.480767250452982,0.468389550860256,0.492820784332443,0.111513855537801,0.09946032165834,"Blastomere A"
"B1",10.1787856,"Lung_and_airway",0.551483050847458,0.480767250452982,0.468389550860256,0.492820784332443,0.0707158003944757,0.0586622665150142,"Blastomere A"
"B1",10.1787856,"Mast_cells",0.278357531760436,0.480767250452982,0.468389550860256,0.492820784332443,-0.202409718692546,-0.214463252572008,"Blastomere A"
"B1",10.1787856,"Megakaryocytes",0.444583681425787,0.480767250452982,0.468389550860256,0.492820784332443,-0.0361835690271952,-0.0482371029066567,"Blastomere A"
"B1",10.1787856,"Mesoderm",0.730246709703772,0.480767250452982,0.468389550860256,0.492820784332443,0.24947945925079,0.237425925371328,"Blastomere A"
