architecture,day,rate
sequential_1x66_flat,11.2669,4.074074
sequential_1x66_flat,11.3008,4.074074
sequential_1x66_flat,11.3346,4.074074
sequential_1x66_flat,11.3684,4.074074
sequential_1x66_flat,11.4023,4.074074
sequential_1x66_flat,11.4361,4.074074
sequential_1x66_flat,11.4699,4.074074
sequential_1x66_flat,11.5038,4.074074
sequential_1x66_flat,11.5376,4.074074
sequential_1x66_flat,11.5714,4.074074
sequential_1x66_flat,11.6053,4.074074
sequential_1x66_flat,11.6391,4.074074
sequential_1x66_flat,11.6729,4.074074
sequential_1x66_flat,11.7068,4.074074
sequential_1x66_flat,11.7406,4.074074
sequential_1x66_flat,11.7744,4.074074
sequential_1x66_flat,11.8083,4.074074
sequential_1x66_flat,11.8421,4.074074
sequential_1x66_flat,11.8759,4.074074
sequential_1x66_flat,11.9098,4.074074
sequential_1x66_flat,11.9436,4.074074
sequential_1x66_flat,11.9774,4.074074
sequential_1x66_flat,12.0113,4.074074
sequential_1x66_flat,12.0451,4.074074
sequential_1x66_flat,12.0789,4.074074
sequential_1x66_flat,12.1128,4.074074
sequential_1x66_flat,12.1466,4.074074
sequential_1x66_flat,12.1805,4.074074
sequential_1x66_flat,12.2143,4.074074
sequential_1x66_flat,12.2481,4.074074
sequential_1x66_flat,12.2820,4.074074
sequential_1x66_flat,12.3158,4.074074
sequential_1x66_flat,12.3496,4.074074
sequential_1x66_flat,12.3835,4.074074
sequential_1x66_flat,12.4173,4.074074
sequential_1x66_flat,12.4511,4.074074
sequential_1x66_flat,12.4850,4.074074
sequential_1x66_flat,12.5188,4.074074
sequential_1x66_flat,12.5526,4.074074
sequential_1x66_flat,12.5865,4.074074
sequential_1x66_flat,12.6203,4.074074
sequential_1x66_flat,12.6541,4.074074
sequential_1x66_flat,12.6880,4.074074
sequential_1x66_flat,12.7218,4.074074
sequential_1x66_flat,12.7556,4.074074
sequential_1x66_flat,12.7895,4.074074
sequential_1x66_flat,12.8233,4.074074
sequential_1x66_flat,12.8571,4.074074
sequential_1x66_flat,12.8910,4.074074
sequential_1x66_flat,12.9248,4.074074
sequential_1x66_flat,12.9586,4.074074
sequential_1x66_flat,12.9925,4.074074
sequential_1x66_flat,13.0263,4.074074
sequential_1x66_flat,13.0602,4.074074
sequential_1x66_flat,13.0940,4.074074
sequential_1x66_flat,13.1278,4.074074
sequential_1x66_flat,13.1617,4.074074
sequential_1x66_flat,13.1955,4.074074
sequential_1x66_flat,13.2293,4.074074
sequential_1x66_flat,13.2632,4.074074
sequential_1x66_flat,13.2970,4.074074
sequential_1x66_flat,13.3308,4.074074
sequential_1x66_flat,13.3647,4.074074
sequential_1x66_flat,13.3985,4.074074
sequential_1x66_flat,13.4323,4.074074
sequential_1x66_flat,13.4662,4.074074
sequential_1x66_flat,13.5000,4.074074
sequential_11x6_constant_rate,0.0000,4.819277
sequential_11x6_constant_rate,0.2490,4.850067
sequential_11x6_constant_rate,0.4980,4.875100
sequential_11x6_constant_rate,0.7470,4.861044
sequential_11x6_constant_rate,0.9960,4.823695
sequential_11x6_constant_rate,1.2450,4.815930
sequential_11x6_constant_rate,1.4940,4.849264
sequential_11x6_constant_rate,1.7430,4.868675
sequential_11x6_constant_rate,1.9920,4.881660
sequential_11x6_constant_rate,2.2410,4.863989
sequential_11x6_constant_rate,2.4900,4.857965
sequential_11x6_constant_rate,2.7390,4.841098
sequential_11x6_constant_rate,2.9880,4.821553
sequential_11x6_constant_rate,3.2370,4.818072
sequential_11x6_constant_rate,3.4860,4.817537
sequential_11x6_constant_rate,3.7350,4.853012
sequential_11x6_constant_rate,3.9840,4.814190
sequential_11x6_constant_rate,4.2330,4.789960
sequential_11x6_constant_rate,4.4820,4.808969
sequential_11x6_constant_rate,4.7310,4.773360
sequential_11x6_constant_rate,4.9800,4.721151
sequential_11x6_constant_rate,5.2290,4.702276
sequential_11x6_constant_rate,5.4780,4.685274
sequential_11x6_constant_rate,5.7270,4.635877
sequential_11x6_constant_rate,5.9760,4.571620
sequential_11x6_constant_rate,6.2250,4.516198
sequential_11x6_constant_rate,6.4740,4.496386
sequential_11x6_constant_rate,6.7230,4.478447
sequential_11x6_constant_rate,6.9720,4.428380
sequential_11x6_constant_rate,7.2210,4.347256
sequential_11x6_constant_rate,7.4700,4.254083
sequential_11x6_constant_rate,7.7190,4.193842
sequential_11x6_constant_rate,7.9680,4.156493
sequential_11x6_constant_rate,8.2170,4.096118
sequential_11x6_constant_rate,8.4660,3.998126
sequential_11x6_constant_rate,8.7150,3.912851
sequential_11x6_constant_rate,8.9640,3.885542
sequential_11x6_constant_rate,9.2130,3.813119
sequential_11x6_constant_rate,9.4620,3.686613
sequential_11x6_constant_rate,9.7110,3.565730
sequential_11x6_constant_rate,9.9600,3.479384
sequential_11x6_constant_rate,10.2090,3.399063
sequential_11x6_constant_rate,10.4580,3.305087
sequential_11x6_constant_rate,10.7070,3.239893
sequential_11x6_constant_rate,10.9560,3.149799
sequential_11x6_constant_rate,11.2050,3.013655
sequential_11x6_constant_rate,11.4540,2.920750
sequential_11x6_constant_rate,11.7030,2.828380
sequential_11x6_constant_rate,11.9520,2.743106
sequential_11x6_constant_rate,12.2010,2.671620
sequential_11x6_constant_rate,12.4500,2.576171
sequential_11x6_constant_rate,12.6990,2.483668
sequential_11x6_constant_rate,12.9480,2.390228
sequential_11x6_constant_rate,13.1970,2.305756
sequential_11x6_constant_rate,13.4460,2.262383
empirical_11x6,0.0000,0.000000
empirical_11x6,0.2490,0.000000
empirical_11x6,0.4980,0.000000
empirical_11x6,0.7470,0.000000
empirical_11x6,0.9960,0.000000
empirical_11x6,1.2450,0.000000
empirical_11x6,1.4940,0.000000
empirical_11x6,1.7430,0.000000
empirical_11x6,1.9920,0.000000
empirical_11x6,2.2410,0.000000
empirical_11x6,2.4900,0.000000
empirical_11x6,2.7390,0.000000
empirical_11x6,2.9880,0.000000
empirical_11x6,3.2370,0.000000
empirical_11x6,3.4860,0.000000
empirical_11x6,3.7350,0.000000
empirical_11x6,3.9840,0.000000
empirical_11x6,4.2330,0.000000
empirical_11x6,4.4820,0.000000
empirical_11x6,4.7310,0.000000
empirical_11x6,4.9800,0.000000
empirical_11x6,5.2290,0.000000
empirical_11x6,5.4780,0.000000
empirical_11x6,5.7270,0.000000
empirical_11x6,5.9760,2.694913
empirical_11x6,6.2250,5.655556
empirical_11x6,6.4740,5.934806
empirical_11x6,6.7230,5.917537
empirical_11x6,6.9720,5.827979
empirical_11x6,7.2210,5.757430
empirical_11x6,7.4700,5.722222
empirical_11x6,7.7190,5.691165
empirical_11x6,7.9680,5.630120
empirical_11x6,8.2170,5.518608
empirical_11x6,8.4660,5.420080
empirical_11x6,8.7150,5.310576
empirical_11x6,8.9640,5.205890
empirical_11x6,9.2130,5.108568
empirical_11x6,9.4620,4.971084
empirical_11x6,9.7110,4.883668
empirical_11x6,9.9600,4.775770
empirical_11x6,10.2090,4.624498
empirical_11x6,10.4580,4.490361
empirical_11x6,10.7070,4.330254
empirical_11x6,10.9560,4.186212
empirical_11x6,11.2050,4.053949
empirical_11x6,11.4540,3.926372
empirical_11x6,11.7030,3.766801
empirical_11x6,11.9520,3.578715
empirical_11x6,12.2010,3.444311
empirical_11x6,12.4500,3.304552
empirical_11x6,12.6990,3.176841
empirical_11x6,12.9480,3.065194
empirical_11x6,13.1970,2.920348
empirical_11x6,13.4460,2.851673
