"old","shift","blast"
1.5,0,"B1"
1.583333,3.326637,"B1"
1.666666,3.783174,"B1"
1.749999,3.783174,"B1"
1.833332,3.783174,"B1"
1.916665,3.783174,"B1"
1.999998,3.7834001,"B1"
2.083331,3.9292431,"B1"
2.166664,4.0367521,"B1"
2.249997,4.0367521,"B1"
2.33333,4.0367521,"B1"
2.704664,4.0230431,"B1"
2.787997,4.0230431,"B1"
6.085157,2.7323131,"B1"
7.254067,2.2812651,"B1"
11.155647,0.850265099999994,"B1"
7.585497,2.1572331,"B1"
2.964318,3.93005509999999,"B1"
3.047651,3.93005509999999,"B1"
3.130984,3.93005509999999,"B1"
3.214317,3.93005509999999,"B1"
3.403638,3.82406709999999,"B1"
5.660808,2.89796709999999,"B1"
6.801168,2.45053109999999,"B1"
8.716638,1.72642709999999,"B1"
8.799971,1.72642709999999,"B1"
9.755114,1.36079209999999,"B1"
11.717234,0.643822099999994,"B1"
3.654231,3.65680709999999,"B1"
3.91014,3.48423109999999,"B1"
4.087705,3.38999909999999,"B1"
4.192625,3.36841209999999,"B1"
4.275958,3.36841209999999,"B1"
4.998683,3.06817109999999,"B1"
5.214404,2.95801309999999,"B1"
5.42959,2.86630409999999,"B1"
5.589168,2.79570949999999,"B1"
5.762115,2.70958369999999,"B1"
6.524498,2.38836169999999,"B1"
6.607831,2.38836169999999,"B1"
6.691164,2.38836169999999,"B1"
6.774497,2.38836169999999,"B1"
6.85783,2.38836169999999,"B1"
6.941163,2.38836169999999,"B1"
7.050899,2.36195869999999,"B1"
7.267564,2.25186369999999,"B1"
7.901512,2.00673969999999,"B1"
8.596003,1.74403269999999,"B1"
8.679336,1.74403269999999,"B1"
8.868909,1.66571669999999,"B1"
9.999379,1.25517969999999,"B1"
10.409876,1.10579969999999,"B1"
11.065418,0.86998069999999,"B1"
12.695836,0.287679699999993,"B1"
11.876939,0.579959699999991,"B1"
11.796839,0.611046699999992,"B1"
10.413576,1.11086269999999,"B1"
11.998636,0.538652699999991,"B1"
12.979655,0.185820699999992,"B1"
11.526083,0.702212699999992,"B1"
12.27732,0.435504699999992,"B1"
8.77775,1.68959269999999,"B1"
9.591443,1.39754769999999,"B1"
12.513533,0.35168769999999,"B1"
9.430561,1.45421269999999,"B1"
12.067601,0.51086269999999,"B1"
7.72966,2.06905969999999,"B1"
9.31234,1.49853969999999,"B1"
11.28594,0.789699699999991,"B1"
11.460769,0.72275769999999,"B1"
12.584349,0.311799699999989,"B1"
12.667682,0.311799699999989,"B1"
13.251149,0.0877776999999895,"B1"
12.46294,0.369989699999989,"B1"
9.13734,1.54402969999999,"B1"
9.524084,1.41243069999999,"B1"
10.065235,1.22288369999999,"B1"
10.197044,1.17734289999999,"B1"
11.177456,0.828512899999991,"B1"
11.319613,0.777968299999992,"B1"
10.708324,0.993626699999991,"B1"
9.220673,1.54402969999999,"B1"
11.644483,0.654079699999992,"B1"
11.727816,0.654079699999992,"B1"
7.736397,2.08631069999999,"B1"
7.94652,2.00000469999999,"B1"
8.763691,1.70036769999999,"B1"
12.217851,0.459687699999993,"B1"
9.40254,1.47151469999999,"B1"
7.875665,2.03037569999999,"B1"
9.059885,1.59653769999999,"B1"
9.395953,1.47094269999999,"B1"
11.736523,0.630322699999992,"B1"
7.815713,2.04781069999999,"B1"
8.982713,1.61072569999999,"B1"
11.882153,0.54421569999999,"B1"
12.039837,0.46986469999999,"B1"
12.12317,0.46986469999999,"B1"
12.206503,0.46986469999999,"B1"
12.289836,0.46986469999999,"B1"
12.373169,0.46986469999999,"B1"
13.05525,0.170080699999989,"B1"
13.324246,0.0656396999999895,"B1"
8.225614,1.89393869999999,"B1"
8.591519,1.75859869999999,"B1"
9.096835,1.57511769999999,"B1"
12.329004,0.419038699999991,"B1"
6.941163,2.38836169999999,"B1"
8.724623,1.72390169999999,"B1"
7.244857,2.26284969999999,"B1"
7.969076,1.99004169999999,"B1"
8.605925,1.75581769999999,"B1"
9.396423,1.46940869999999,"B1"
12.225613,0.455828699999991,"B1"
12.135683,0.486448699999992,"B1"
8.991556,1.61709269999999,"B1"
12.122696,0.49191269999999,"B1"
7.714669,2.05861569999999,"B1"
8.074864,1.93211869999999,"B1"
8.684874,1.71527569999999,"B1"
9.6225,1.38017769999999,"B1"
11.99896,0.530347699999991,"B1"
12.843153,0.22068069999999,"B1"
12.926486,0.22068069999999,"B1"
9.339141,1.48360269999999,"B1"
10.281232,1.14826769999999,"B1"
12.219112,0.457327699999993,"B1"
11.604421,0.676192699999991,"B1"
9.250409,1.51410969999999,"B1"
10.551199,1.05152669999999,"B1"
12.080079,0.506614699999993,"B1"
7.903884,1.96938269999999,"B1"
8.870816,1.62400069999999,"B1"
8.954149,1.62400069999999,"B1"
9.555998,1.39538869999999,"B1"
9.6515372,1.38318249999999,"B1"
10.9962372,0.884488499999991,"B1"
11.0795702,0.884488499999991,"B1"
12.8898072,0.215088499999991,"B1"
10.8384072,0.953833499999991,"B1"
12.3233272,0.42105849999999,"B1"
12.366788,0.40024869999999,"B1"
11.501546,0.702610699999992,"B1"
8.926074,1.61789869999999,"B1"
10.949604,0.90484869999999,"B1"
9.538384,1.40555369999999,"B1"
12.399234,0.389763699999991,"B1"
7.113161,2.22660869999999,"B1"
7.922839,1.95978769999999,"B1"
8.605882,1.72392369999999,"B1"
9.119159,1.54478369999999,"B1"
9.2077282,1.53954749999999,"B1"
10.7209682,0.994352499999991,"B1"
9.73371,1.33427969999999,"B1"
11.00663,0.885918699999991,"B1"
11.592777,0.679009699999991,"B1"
11.460342,0.709663699999991,"B1"
11.543675,0.709663699999991,"B1"
12.761055,0.26620969999999,"B1"
13.033225,0.168802699999992,"B1"
8.64553,1.71436369999999,"B1"
12.09072,0.49868369999999,"B1"
11.92296,0.557693699999991,"B1"
7.747014,2.00175469999999,"B1"
8.511618,1.70750869999999,"B1"
8.594951,1.70750869999999,"B1"
8.678284,1.70750869999999,"B1"
8.940204,1.61850069999999,"B1"
9.823091,1.30636869999999,"B1"
10.815491,0.952306699999989,"B1"
10.9841,0.891664699999989,"B1"
11.922681,0.552846699999989,"B1"
12.599569,0.29820569999999,"B1"
12.682902,0.29820569999999,"B1"
