progenitor,postmitotic,n_cells_A,fold_A,q_A,n_cells_B,fold_B,q_B,tested_in_both,captured
Midbrain,Glutamatergic neurons,2756,2.32,0.000e+00,1430,2.46,3.390e-191,1,0
Neural crest (PNS glia),Parasympathetic neurons,,,,3,2.58,1.000e+00,0,0
Oligodendrocyte progenitor cells,GABAergic cortical interneurons,13,2.66,3.167e-02,,,,0,0
Telencephalon,Cajal-Retzius cells,1336,2.22,1.715e-144,825,2.19,1.958e-80,1,0
Amacrine/Horizontal precursor cells,GABAergic cortical interneurons,5,2.97,4.252e-01,,,,0,0
Spinal cord/r7/r8,Sympathetic neurons,19,2.06,5.061e-02,7,2.01,7.682e-01,1,0
Intermediate neuronal progenitors,Cajal-Retzius cells,167,2.3,6.369e-20,74,1.77,8.834e-05,1,0
Spinal cord dorsal progenitors,Neural crest (PNS neurons),18,2.0,1.031e-01,7,2.08,7.682e-01,1,0
Spinal cord/r7/r8,Neural crest (PNS neurons),44,2.23,4.109e-05,10,1.58,1.000e+00,1,0
Hindbrain,Primitive erythroid cells,,,,,,,0,0
Dermatome,Myotubes,,,,,,,0,0
Spinal cord dorsal progenitors,Otic sensory neurons,6,2.41,5.513e-01,,,,0,0
Choroid plexus,Cajal-Retzius cells,8,1.43,1.000e+00,10,2.25,2.473e-01,1,0
Spinal cord/r7/r8,Dorsal root ganglion neurons,4,1.84,1.000e+00,,,,0,0
Midbrain,GABAergic neurons,1038,1.69,2.487e-53,539,1.91,2.724e-40,1,0
Hindbrain,Glutamatergic neurons,859,1.85,1.677e-58,343,1.52,4.145e-12,1,0
Astrocytes,Glutamatergic neurons,317,1.87,3.802e-20,98,1.41,1.422e-02,1,0
Pre-epidermal keratinocytes,Olfactory sensory neurons,39,2.01,2.236e-03,8,1.02,1.000e+00,1,0
Hypothalamus,Retinal ganglion cells,,,,3,1.8,1.000e+00,0,0
Ureteric bud,Granular keratinocytes,,,,,,,0,0
Myelinating Schwann cells,Cranial motor neurons,4,2.1,1.000e+00,,,,0,0
Pituitary/Pineal gland progenitors,Deep-layer neurons,4,1.86,1.000e+00,,,,0,0
Posterior roof plate,GABAergic neurons,11,1.49,1.000e+00,6,1.86,1.000e+00,1,0
Hindbrain,GABAergic neurons,415,1.72,6.641e-23,167,1.51,5.867e-06,1,0
Spinal cord/r7/r8,Cerebellar Purkinje cells,71,1.73,2.645e-04,22,1.42,7.246e-01,1,0
Facial mesenchyme,Myotubes,3,1.94,1.000e+00,,,,0,0
Spinal cord/r7/r8,Parasympathetic neurons,6,1.92,1.000e+00,,,,0,0
Otic epithelial cells,Granular keratinocytes,6,1.57,1.000e+00,,,,0,0
Telencephalon,Primitive erythroid cells,11,1.2,1.000e+00,11,2.21,2.462e-01,1,0
Posterior roof plate,Glutamatergic neurons,22,1.6,3.602e-01,9,1.45,1.000e+00,1,0
Olfactory epithelial cells,Otic sensory neurons,3,1.63,1.000e+00,,,,0,0
Spinal cord ventral progenitors,Glutamatergic neurons,44,1.68,3.131e-02,15,1.22,1.000e+00,1,0
Cone precursor cells,GABAergic cortical interneurons,3,1.31,1.000e+00,4,1.58,1.000e+00,1,0
Definitive erythroblasts (CD36+),GABAergic neurons,6,1.1,1.000e+00,7,2.1,7.072e-01,1,0
Eye field,GABAergic cortical interneurons,47,1.47,9.546e-02,44,1.51,8.794e-02,1,0
Naive retinal progenitor cells,GABAergic cortical interneurons,125,1.93,5.336e-10,62,1.03,1.000e+00,1,0
Retinal pigment cells,GABAergic cortical interneurons,8,1.97,6.639e-01,3,0.88,1.000e+00,1,0
Hypothalamus,Glutamatergic neurons,226,1.46,8.814e-07,101,1.47,4.351e-03,1,0
Sclerotome,Osteoclasts,3,1.49,1.000e+00,,,,0,0
Pre-epidermal keratinocytes,Enteric neurons,,,,,,,0,0
Midbrain-hindbrain boundary,Glutamatergic neurons,26,1.6,1.938e-01,5,0.94,1.000e+00,1,0
Brain capillary endothelial cells,Granular keratinocytes,4,1.85,1.000e+00,,,,0,0
Spinal cord dorsal progenitors,Sympathetic neurons,5,1.24,1.000e+00,3,1.63,1.000e+00,1,0
Limb mesenchyme progenitors,Primitive erythroid cells,,,,3,1.96,1.000e+00,0,0
Myelinating Schwann cells (Tgfb2+),Neural crest (PNS neurons),4,1.47,1.000e+00,,,,0,0
