progenitor,postmitotic,n_cells_A,fold_A,q_A,n_cells_B,fold_B,q_B,tested_in_both,captured
Early chondrocytes,Olfactory sensory neurons,20,0.68,1.000e+00,,,,0,0
Astrocytes,Granular keratinocytes,,,,,,,0,0
Hindbrain,Neural crest (PNS neurons),13,0.6,1.000e+00,3,0.39,1.000e+00,1,0
Myofibroblasts,Granular keratinocytes,5,0.55,1.000e+00,,,,0,0
Cone precursor cells,Glutamatergic neurons,,,,,,,0,0
Eye field,Glutamatergic neurons,30,0.59,1.000e+00,18,0.44,1.000e+00,1,0
Facial mesenchyme,Parasympathetic neurons,6,0.83,1.000e+00,,,,0,0
Neural crest (PNS glia),Cerebellar Purkinje cells,9,0.59,1.000e+00,,,,0,0
Facial mesenchyme,Cajal-Retzius cells,81,0.48,1.000e+00,58,0.57,1.000e+00,1,0
Spinal cord/r7/r8,Olfactory sensory neurons,6,0.53,1.000e+00,,,,0,0
Lymphatic vessel endothelial cells,Glutamatergic neurons,17,0.45,1.000e+00,13,0.67,1.000e+00,1,0
Myoblasts,GABAergic neurons,372,0.54,1.000e+00,142,0.45,1.000e+00,1,0
Dermomyotome,Glutamatergic neurons,8,0.55,1.000e+00,3,0.49,1.000e+00,1,0
Naive retinal progenitor cells,Glutamatergic neurons,63,0.6,1.000e+00,35,0.41,1.000e+00,1,0
Brain capillary endothelial cells,Cajal-Retzius cells,,,,4,0.99,1.000e+00,0,0
Myoblasts,Sympathetic neurons,18,0.64,1.000e+00,3,0.28,1.000e+00,1,0
Early chondrocytes,Neural crest (PNS neurons),24,0.51,1.000e+00,9,0.52,1.000e+00,1,0
Telencephalon,Glutamatergic neurons,1997,0.5,1.000e+00,1135,0.52,1.000e+00,1,0
Limb mesenchyme progenitors,Parasympathetic neurons,4,0.67,1.000e+00,,,,0,0
Midbrain,GABAergic cortical interneurons,353,0.49,1.000e+00,213,0.53,1.000e+00,1,0
Endothelium,Sympathetic neurons,,,,,,,0,0
Myoblasts,Spinal cord motor neurons,8,0.5,1.000e+00,4,0.56,1.000e+00,1,0
Hindbrain,Granular keratinocytes,8,0.49,1.000e+00,4,0.59,1.000e+00,1,0
Hypothalamus,GABAergic neurons,43,0.55,1.000e+00,13,0.41,1.000e+00,1,0
Myofibroblasts,Glutamatergic neurons,130,0.5,1.000e+00,65,0.49,1.000e+00,1,0
Sclerotome,GABAergic neurons,359,0.5,1.000e+00,166,0.5,1.000e+00,1,0
Foregut epithelial cells,GABAergic cortical interneurons,,,,,,,0,0
Pre-osteoblasts (Sp7+),Deep-layer neurons,9,0.83,1.000e+00,,,,0,0
Hypothalamus,Deep-layer neurons,18,0.45,1.000e+00,12,0.6,1.000e+00,1,0
Hindbrain,Deep-layer neurons,63,0.52,1.000e+00,31,0.46,1.000e+00,1,0
Dermatome,Spinal cord motor neurons,6,0.62,1.000e+00,,,,0,0
Pre-osteoblasts (Sp7+),Cajal-Retzius cells,,,,3,0.7,1.000e+00,0,0
Thalamic neuronal precursors,GABAergic neurons,136,0.5,1.000e+00,66,0.47,1.000e+00,1,0
Microglia,Deep-layer neurons,4,0.64,1.000e+00,,,,0,0
Fibroblasts,Granular keratinocytes,73,0.51,1.000e+00,26,0.44,1.000e+00,1,0
Dermatome,Cerebellar Purkinje cells,38,0.46,1.000e+00,23,0.56,1.000e+00,1,0
Branchial arch epithelium,Sympathetic neurons,4,0.68,1.000e+00,,,,0,0
Liver sinusoidal endothelial cells,Cajal-Retzius cells,4,0.5,1.000e+00,,,,0,0
Muscle progenitor cells,GABAergic neurons,3,0.67,1.000e+00,,,,0,0
Fibroblasts,Otic sensory neurons,25,0.61,1.000e+00,4,0.25,1.000e+00,1,0
Facial mesenchyme,Glutamatergic neurons,573,0.51,1.000e+00,255,0.43,1.000e+00,1,0
Midbrain,Cajal-Retzius cells,93,0.53,1.000e+00,41,0.41,1.000e+00,1,0
Naive retinal progenitor cells,Deep-layer neurons,13,0.49,1.000e+00,13,0.5,1.000e+00,1,0
Dermatome,GABAergic neurons,200,0.48,1.000e+00,97,0.49,1.000e+00,1,0
Intermediate neuronal progenitors,Olfactory sensory neurons,8,0.57,1.000e+00,,,,0,0
Lateral plate and intermediate mesoderm,Parasympathetic neurons,4,0.43,1.000e+00,4,0.62,1.000e+00,1,0
Sclerotome,Glutamatergic neurons,705,0.5,1.000e+00,298,0.43,1.000e+00,1,0
Fibroblasts,GABAergic neurons,974,0.5,1.000e+00,381,0.43,1.000e+00,1,0
Early chondrocytes,Cranial motor neurons,,,,,,,0,0
Eye field,GABAergic neurons,12,0.47,1.000e+00,10,0.51,1.000e+00,1,0
Fibroblasts,Sympathetic neurons,43,0.53,1.000e+00,13,0.37,1.000e+00,1,0
Early chondrocytes,Spinal cord motor neurons,7,0.6,1.000e+00,,,,0,0
Olfactory epithelial cells,Deep-layer neurons,11,0.33,1.000e+00,14,0.76,1.000e+00,1,0
Chondrocytes (Atp1a2+),Granular keratinocytes,12,0.46,1.000e+00,6,0.55,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Enteric neurons,3,0.59,1.000e+00,,,,0,0
Endothelium,GABAergic cortical interneurons,76,0.45,1.000e+00,51,0.53,1.000e+00,1,0
Intermediate neuronal progenitors,Glutamatergic neurons,234,0.49,1.000e+00,103,0.44,1.000e+00,1,0
Spinal cord dorsal progenitors,Olfactory sensory neurons,,,,,,,0,0
Olfactory epithelial cells,Cajal-Retzius cells,11,0.57,1.000e+00,3,0.35,1.000e+00,1,0
Pancreatic acinar cells,Glutamatergic neurons,3,0.54,1.000e+00,,,,0,0
Facial mesenchyme,Neural crest (PNS neurons),20,0.37,1.000e+00,17,0.72,1.000e+00,1,0
Intermediate neuronal progenitors,GABAergic neurons,118,0.48,1.000e+00,52,0.46,1.000e+00,1,0
Choroid plexus,Glutamatergic neurons,17,0.5,1.000e+00,9,0.44,1.000e+00,1,0
Dermatome,Granular keratinocytes,14,0.48,1.000e+00,6,0.5,1.000e+00,1,0
Liver sinusoidal endothelial cells,Glutamatergic neurons,23,0.4,1.000e+00,16,0.65,1.000e+00,1,0
Myelinating Schwann cells,Cajal-Retzius cells,17,0.44,1.000e+00,11,0.56,1.000e+00,1,0
Limb mesenchyme progenitors,GABAergic neurons,233,0.46,1.000e+00,115,0.48,1.000e+00,1,0
Sclerotome,Olfactory sensory neurons,21,0.5,1.000e+00,8,0.42,1.000e+00,1,0
Fibroblasts,Spinal cord motor neurons,26,0.56,1.000e+00,6,0.3,1.000e+00,1,0
Pre-epidermal keratinocytes,GABAergic neurons,160,0.51,1.000e+00,45,0.36,1.000e+00,1,0
Astrocytes,Deep-layer neurons,24,0.55,1.000e+00,6,0.31,1.000e+00,1,0
Limb mesenchyme progenitors,Olfactory sensory neurons,16,0.55,1.000e+00,4,0.32,1.000e+00,1,0
Spinal cord dorsal progenitors,Deep-layer neurons,17,0.39,1.000e+00,13,0.62,1.000e+00,1,0
Myofibroblasts,GABAergic cortical interneurons,71,0.46,1.000e+00,41,0.45,1.000e+00,1,0
Myofibroblasts,Cerebellar Purkinje cells,13,0.5,1.000e+00,5,0.41,1.000e+00,1,0
Myelinating Schwann cells (Tgfb2+),Glutamatergic neurons,24,0.49,1.000e+00,8,0.39,1.000e+00,1,0
Hypothalamus,Cerebellar Purkinje cells,8,0.52,1.000e+00,,,,0,0
Myoblasts,Parasympathetic neurons,5,0.61,1.000e+00,,,,0,0
Early chondrocytes,Sympathetic neurons,8,0.41,1.000e+00,5,0.59,1.000e+00,1,0
Sclerotome,Cajal-Retzius cells,89,0.43,1.000e+00,58,0.5,1.000e+00,1,0
Branchial arch epithelium,Cajal-Retzius cells,20,0.47,1.000e+00,10,0.44,1.000e+00,1,0
Facial mesenchyme,GABAergic cortical interneurons,284,0.42,1.000e+00,203,0.5,1.000e+00,1,0
Anterior roof plate,GABAergic neurons,,,,,,,0,0
Dermatome,Glutamatergic neurons,369,0.45,1.000e+00,169,0.42,1.000e+00,1,0
Fibroblasts,Cranial motor neurons,10,0.54,1.000e+00,,,,0,0
Intermediate neuronal progenitors,Cerebellar Purkinje cells,15,0.32,1.000e+00,17,0.71,1.000e+00,1,0
Early chondrocytes,Glutamatergic neurons,454,0.47,1.000e+00,164,0.37,1.000e+00,1,0
Pre-epidermal keratinocytes,GABAergic cortical interneurons,175,0.47,1.000e+00,65,0.37,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Otic sensory neurons,9,0.53,1.000e+00,,,,0,0
Retinal progenitor cells,Glutamatergic neurons,8,0.62,1.000e+00,,,,0,0
Diencephalon,Deep-layer neurons,28,0.41,1.000e+00,22,0.49,1.000e+00,1,0
Hypothalamus,Granular keratinocytes,,,,,,,0,0
Facial mesenchyme,Deep-layer neurons,141,0.48,1.000e+00,66,0.37,1.000e+00,1,0
Endothelium,Neural crest (PNS neurons),6,0.47,1.000e+00,,,,0,0
Lateral plate and intermediate mesoderm,GABAergic neurons,381,0.45,1.000e+00,156,0.4,1.000e+00,1,0
Telencephalon,GABAergic neurons,878,0.42,1.000e+00,461,0.44,1.000e+00,1,0
Hematopoietic stem cells (Mpo+),Cajal-Retzius cells,3,0.43,1.000e+00,,,,0,0
Chondrocytes (Atp1a2+),Sympathetic neurons,7,0.49,1.000e+00,,,,0,0
Dermatome,GABAergic cortical interneurons,194,0.4,1.000e+00,130,0.46,1.000e+00,1,0
Myelinating Schwann cells,GABAergic cortical interneurons,64,0.39,1.000e+00,38,0.48,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Cerebellar Purkinje cells,76,0.44,1.000e+00,31,0.38,1.000e+00,1,0
Myoblasts,Glutamatergic neurons,569,0.43,1.000e+00,261,0.4,1.000e+00,1,0
Myelinating Schwann cells (Tgfb2+),Cajal-Retzius cells,,,,,,,0,0
Lymphatic vessel endothelial cells,GABAergic cortical interneurons,9,0.41,1.000e+00,6,0.47,1.000e+00,1,0
Sclerotome,GABAergic cortical interneurons,325,0.38,1.000e+00,226,0.47,1.000e+00,1,0
Telencephalon,Cerebellar Purkinje cells,169,0.41,1.000e+00,95,0.43,1.000e+00,1,0
Sclerotome,Spinal cord motor neurons,8,0.48,1.000e+00,,,,0,0
Chondrocytes (Atp1a2+),GABAergic neurons,155,0.43,1.000e+00,64,0.38,1.000e+00,1,0
Myelinating Schwann cells (Tgfb2+),GABAergic cortical interneurons,11,0.39,1.000e+00,7,0.5,1.000e+00,1,0
Kupffer cells,GABAergic cortical interneurons,13,0.34,1.000e+00,14,0.54,1.000e+00,1,0
Endocardial cells,Glutamatergic neurons,9,0.41,1.000e+00,5,0.45,1.000e+00,1,0
Early chondrocytes,GABAergic cortical interneurons,241,0.41,1.000e+00,125,0.41,1.000e+00,1,0
Primordial germ cells,Glutamatergic neurons,,,,,,,0,0
Midbrain,Sympathetic neurons,12,0.48,1.000e+00,3,0.3,1.000e+00,1,0
Endothelium,Cajal-Retzius cells,17,0.41,1.000e+00,10,0.43,1.000e+00,1,0
Thalamic neuronal precursors,Otic sensory neurons,3,0.59,1.000e+00,,,,0,0
Fibroblasts,Glutamatergic neurons,1593,0.42,1.000e+00,672,0.37,1.000e+00,1,0
Pre-epidermal keratinocytes,Glutamatergic neurons,258,0.42,1.000e+00,92,0.36,1.000e+00,1,0
Brain capillary endothelial cells,Deep-layer neurons,4,0.39,1.000e+00,3,0.51,1.000e+00,1,0
Early chondrocytes,Megakaryocytes,12,0.5,1.000e+00,3,0.27,1.000e+00,1,0
Limb mesenchyme progenitors,Sympathetic neurons,10,0.5,1.000e+00,,,,0,0
Telencephalon,Cranial motor neurons,10,0.51,1.000e+00,,,,0,0
Facial mesenchyme,Sympathetic neurons,8,0.36,1.000e+00,6,0.54,1.000e+00,1,0
Diencephalon,GABAergic neurons,56,0.41,1.000e+00,28,0.39,1.000e+00,1,0
Pre-epidermal keratinocytes,Cajal-Retzius cells,38,0.42,1.000e+00,16,0.37,1.000e+00,1,0
Muscle progenitor cells,GABAergic cortical interneurons,,,,,,,0,0
Lateral plate and intermediate mesoderm,Sympathetic neurons,16,0.47,1.000e+00,4,0.29,1.000e+00,1,0
Midbrain,Spinal cord motor neurons,6,0.45,1.000e+00,,,,0,0
Naive retinal progenitor cells,GABAergic neurons,18,0.34,1.000e+00,20,0.48,1.000e+00,1,0
Myoblasts,Granular keratinocytes,20,0.41,1.000e+00,8,0.4,1.000e+00,1,0
Dermatome,Olfactory sensory neurons,11,0.46,1.000e+00,3,0.31,1.000e+00,1,0
Dermomyotome,GABAergic neurons,,,,,,,0,0
Myoblasts,Cajal-Retzius cells,83,0.42,1.000e+00,40,0.35,1.000e+00,1,0
Fibroblasts,Dorsal root ganglion neurons,6,0.39,1.000e+00,3,0.48,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Glutamatergic neurons,646,0.39,1.000e+00,321,0.4,1.000e+00,1,0
Kupffer cells,Glutamatergic neurons,23,0.35,1.000e+00,18,0.48,1.000e+00,1,0
Chondrocytes (Atp1a2+),Otic sensory neurons,4,0.56,1.000e+00,,,,0,0
Neural progenitor cells (Neurod1+),Deep-layer neurons,,,,6,0.72,1.000e+00,0,0
Branchial arch epithelium,GABAergic neurons,59,0.39,1.000e+00,26,0.39,1.000e+00,1,0
Pre-osteoblasts (Sp7+),GABAergic neurons,8,0.39,1.000e+00,5,0.42,1.000e+00,1,0
Fibroblasts,GABAergic cortical interneurons,863,0.38,1.000e+00,494,0.39,1.000e+00,1,0
Neural crest (PNS glia),GABAergic cortical interneurons,31,0.35,1.000e+00,19,0.47,1.000e+00,1,0
Telencephalon,Sympathetic neurons,25,0.3,1.000e+00,24,0.56,1.000e+00,1,0
Fibroblasts,Olfactory sensory neurons,47,0.41,1.000e+00,17,0.33,1.000e+00,1,0
Early chondrocytes,Granular keratinocytes,17,0.47,1.000e+00,,,,0,0
Facial mesenchyme,Megakaryocytes,12,0.43,1.000e+00,5,0.32,1.000e+00,1,0
Limb mesenchyme progenitors,GABAergic cortical interneurons,212,0.36,1.000e+00,139,0.41,1.000e+00,1,0
Chondrocytes (Atp1a2+),Glutamatergic neurons,273,0.39,1.000e+00,119,0.34,1.000e+00,1,0
Telencephalon,Granular keratinocytes,55,0.36,1.000e+00,28,0.4,1.000e+00,1,0
Fibroblasts,Cajal-Retzius cells,195,0.35,1.000e+00,132,0.42,1.000e+00,1,0
Myofibroblasts,Deep-layer neurons,27,0.4,1.000e+00,13,0.33,1.000e+00,1,0
Endocardial cells,GABAergic neurons,3,0.31,1.000e+00,3,0.57,1.000e+00,1,0
Endocardial cells,Deep-layer neurons,,,,,,,0,0
Myoblasts,GABAergic cortical interneurons,268,0.33,1.000e+00,192,0.42,1.000e+00,1,0
Midbrain,Granular keratinocytes,17,0.39,1.000e+00,6,0.34,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Neural crest (PNS neurons),28,0.35,1.000e+00,13,0.41,1.000e+00,1,0
Liver sinusoidal endothelial cells,GABAergic neurons,7,0.25,1.000e+00,8,0.68,1.000e+00,1,0
Telencephalon,Parasympathetic neurons,8,0.33,1.000e+00,8,0.44,1.000e+00,1,0
Endothelium,Olfactory sensory neurons,,,,,,,0,0
Pre-epidermal keratinocytes,Sympathetic neurons,,,,5,0.99,1.000e+00,0,0
Endothelium,Deep-layer neurons,29,0.4,1.000e+00,13,0.31,1.000e+00,1,0
Limb mesenchyme progenitors,Spinal cord motor neurons,5,0.45,1.000e+00,,,,0,0
Early chondrocytes,Otic sensory neurons,5,0.51,1.000e+00,,,,0,0
Early chondrocytes,Cajal-Retzius cells,51,0.36,1.000e+00,28,0.37,1.000e+00,1,0
Thalamic neuronal precursors,Cerebellar Purkinje cells,18,0.34,1.000e+00,12,0.42,1.000e+00,1,0
Lung progenitor cells,Cerebellar Purkinje cells,,,,,,,0,0
Ureteric bud,GABAergic cortical interneurons,5,0.42,1.000e+00,3,0.34,1.000e+00,1,0
Sclerotome,Cerebellar Purkinje cells,48,0.33,1.000e+00,29,0.42,1.000e+00,1,0
Pre-epidermal keratinocytes,Neural crest (PNS neurons),10,0.35,1.000e+00,4,0.44,1.000e+00,1,0
Early chondrocytes,Retinal ganglion cells,,,,3,0.45,1.000e+00,0,0
Branchial arch epithelium,GABAergic cortical interneurons,67,0.38,1.000e+00,30,0.32,1.000e+00,1,0
Olfactory epithelial cells,GABAergic neurons,28,0.42,1.000e+00,6,0.23,1.000e+00,1,0
Midgut/Hindgut epithelial cells,Glutamatergic neurons,21,0.36,1.000e+00,11,0.37,1.000e+00,1,0
Chondrocytes (Atp1a2+),GABAergic cortical interneurons,146,0.34,1.000e+00,89,0.37,1.000e+00,1,0
Myoblasts,Cerebellar Purkinje cells,45,0.33,1.000e+00,26,0.4,1.000e+00,1,0
Olfactory epithelial cells,GABAergic cortical interneurons,35,0.44,1.000e+00,7,0.19,1.000e+00,1,0
Otic epithelial cells,Deep-layer neurons,9,0.39,1.000e+00,3,0.32,1.000e+00,1,0
Otic epithelial cells,Glutamatergic neurons,36,0.39,1.000e+00,9,0.27,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Megakaryocytes,17,0.41,1.000e+00,6,0.27,1.000e+00,1,0
Midbrain,Otic sensory neurons,4,0.35,1.000e+00,,,,0,0
Midbrain-hindbrain boundary,GABAergic cortical interneurons,3,0.37,1.000e+00,,,,0,0
Monocytes,Glutamatergic neurons,,,,,,,0,0
Myofibroblasts,Megakaryocytes,,,,3,0.81,1.000e+00,0,0
Midbrain,Olfactory sensory neurons,14,0.4,1.000e+00,4,0.27,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Retinal ganglion cells,4,0.35,1.000e+00,5,0.39,1.000e+00,1,0
Limb mesenchyme progenitors,Glutamatergic neurons,358,0.36,1.000e+00,152,0.31,1.000e+00,1,0
Lung progenitor cells,Deep-layer neurons,3,0.23,1.000e+00,6,0.56,1.000e+00,1,0
Limb mesenchyme progenitors,Neural crest (PNS neurons),15,0.32,1.000e+00,8,0.43,1.000e+00,1,0
Nephron progenitors,GABAergic cortical interneurons,5,0.45,1.000e+00,,,,0,0
Metanephric mesenchyme,GABAergic neurons,9,0.32,1.000e+00,6,0.44,1.000e+00,1,0
Fibroblasts,Cerebellar Purkinje cells,149,0.38,1.000e+00,50,0.27,1.000e+00,1,0
Fibroblasts,Neural crest (PNS neurons),73,0.39,1.000e+00,16,0.23,1.000e+00,1,0
Microglia,GABAergic cortical interneurons,4,0.31,1.000e+00,4,0.44,1.000e+00,1,0
Myelinating Schwann cells,Megakaryocytes,,,,,,,0,0
Lateral plate and intermediate mesoderm,Olfactory sensory neurons,22,0.44,1.000e+00,3,0.16,1.000e+00,1,0
Lateral plate and intermediate mesoderm,GABAergic cortical interneurons,325,0.32,1.000e+00,202,0.36,1.000e+00,1,0
Midgut/Hindgut epithelial cells,GABAergic neurons,8,0.28,1.000e+00,7,0.48,1.000e+00,1,0
Dermatome,Cajal-Retzius cells,47,0.39,1.000e+00,17,0.25,1.000e+00,1,0
Spinal cord/r7/r8,Granular keratinocytes,5,0.38,1.000e+00,,,,0,0
Telencephalon,Otic sensory neurons,16,0.38,1.000e+00,6,0.29,1.000e+00,1,0
Sclerotome,Deep-layer neurons,121,0.33,1.000e+00,73,0.35,1.000e+00,1,0
Chondrocytes (Atp1a2+),Neural crest (PNS neurons),9,0.27,1.000e+00,7,0.51,1.000e+00,1,0
Midbrain,Retinal ganglion cells,,,,4,0.44,1.000e+00,0,0
Liver sinusoidal endothelial cells,GABAergic cortical interneurons,11,0.32,1.000e+00,6,0.38,1.000e+00,1,0
Floorplate and p3 domain,Deep-layer neurons,5,0.48,1.000e+00,,,,0,0
Foregut epithelial cells,Glutamatergic neurons,3,0.48,1.000e+00,,,,0,0
Muscle progenitor cells,Glutamatergic neurons,,,,4,0.89,1.000e+00,0,0
Sclerotome,Neural crest (PNS neurons),22,0.33,1.000e+00,9,0.34,1.000e+00,1,0
Olfactory bulb cells,GABAergic cortical interneurons,4,0.3,1.000e+00,3,0.43,1.000e+00,1,0
Thalamic neuronal precursors,Granular keratinocytes,7,0.38,1.000e+00,,,,0,0
Sclerotome,Retinal ganglion cells,5,0.47,1.000e+00,,,,0,0
Neural crest (PNS glia),Deep-layer neurons,10,0.27,1.000e+00,8,0.45,1.000e+00,1,0
Pre-epidermal keratinocytes,Cerebellar Purkinje cells,14,0.23,1.000e+00,14,0.55,1.000e+00,1,0
Chondrocytes (Atp1a2+),Cajal-Retzius cells,38,0.37,1.000e+00,14,0.24,1.000e+00,1,0
Diencephalon,Megakaryocytes,,,,,,,0,0
Myelinating Schwann cells,Deep-layer neurons,21,0.3,1.000e+00,12,0.36,1.000e+00,1,0
Fibroblasts,Megakaryocytes,30,0.31,1.000e+00,18,0.33,1.000e+00,1,0
Olfactory epithelial cells,Glutamatergic neurons,42,0.32,1.000e+00,18,0.31,1.000e+00,1,0
Myofibroblasts,Neural crest (PNS neurons),4,0.36,1.000e+00,,,,0,0
Branchial arch epithelium,Glutamatergic neurons,77,0.27,1.000e+00,58,0.42,1.000e+00,1,0
Diencephalon,Granular keratinocytes,,,,,,,0,0
Choroid plexus,GABAergic neurons,4,0.27,1.000e+00,4,0.44,1.000e+00,1,0
Sclerotome,Megakaryocytes,12,0.35,1.000e+00,5,0.27,1.000e+00,1,0
Pre-epidermal keratinocytes,Deep-layer neurons,48,0.3,1.000e+00,25,0.33,1.000e+00,1,0
Telencephalon,Olfactory sensory neurons,39,0.32,1.000e+00,18,0.29,1.000e+00,1,0
Branchial arch epithelium,Cerebellar Purkinje cells,10,0.35,1.000e+00,3,0.26,1.000e+00,1,0
Early chondrocytes,Cerebellar Purkinje cells,32,0.32,1.000e+00,12,0.28,1.000e+00,1,0
Limb mesenchyme progenitors,Cajal-Retzius cells,43,0.3,1.000e+00,27,0.32,1.000e+00,1,0
Myoblasts,Neural crest (PNS neurons),21,0.33,1.000e+00,6,0.25,1.000e+00,1,0
Ureteric bud,GABAergic neurons,4,0.4,1.000e+00,,,,0,0
Border-associated macrophages,GABAergic neurons,41,0.29,1.000e+00,27,0.32,1.000e+00,1,0
Limb mesenchyme progenitors,Cerebellar Purkinje cells,30,0.3,1.000e+00,15,0.31,1.000e+00,1,0
Early chondrocytes,Deep-layer neurons,82,0.32,1.000e+00,34,0.26,1.000e+00,1,0
Otic epithelial cells,GABAergic neurons,9,0.2,1.000e+00,10,0.59,1.000e+00,1,0
Border-associated macrophages,Deep-layer neurons,16,0.23,1.000e+00,21,0.4,1.000e+00,1,0
Microglia,Glutamatergic neurons,4,0.19,1.000e+00,7,0.51,1.000e+00,1,0
Myelinating Schwann cells,Cerebellar Purkinje cells,8,0.31,1.000e+00,3,0.31,1.000e+00,1,0
Intermediate neuronal progenitors,Neural crest (PNS neurons),8,0.37,1.000e+00,,,,0,0
Kupffer cells,GABAergic neurons,5,0.17,1.000e+00,10,0.55,1.000e+00,1,0
Midbrain,Parasympathetic neurons,,,,,,,0,0
Myoblasts,Olfactory sensory neurons,9,0.24,1.000e+00,8,0.43,1.000e+00,1,0
Olfactory bulb cells,Glutamatergic neurons,7,0.31,1.000e+00,3,0.31,1.000e+00,1,0
Myelinating Schwann cells (Tgfb2+),Deep-layer neurons,3,0.29,1.000e+00,,,,0,0
Metanephric mesenchyme,Glutamatergic neurons,14,0.25,1.000e+00,11,0.38,1.000e+00,1,0
Border-associated macrophages,GABAergic cortical interneurons,30,0.18,1.000e+00,53,0.43,1.000e+00,1,0
Border-associated macrophages,Glutamatergic neurons,74,0.27,1.000e+00,56,0.32,1.000e+00,1,0
Midbrain,Deep-layer neurons,91,0.29,1.000e+00,50,0.28,1.000e+00,1,0
Hematopoietic stem cells (Cd34+),Granular keratinocytes,3,0.28,1.000e+00,,,,0,0
Chondrocytes (Atp1a2+),Deep-layer neurons,60,0.33,1.000e+00,23,0.22,1.000e+00,1,0
Limb mesenchyme progenitors,Megakaryocytes,9,0.38,1.000e+00,,,,0,0
Definitive early erythroblasts (CD36-),Otic sensory neurons,7,0.19,1.000e+00,10,0.49,1.000e+00,1,0
Dermatome,Megakaryocytes,3,0.18,1.000e+00,6,0.51,1.000e+00,1,0
Nephron progenitors,Glutamatergic neurons,6,0.32,1.000e+00,,,,0,0
Microglia,GABAergic neurons,3,0.29,1.000e+00,,,,0,0
Lateral plate and intermediate mesoderm,Cajal-Retzius cells,70,0.28,1.000e+00,40,0.29,1.000e+00,1,0
Otic epithelial cells,Cajal-Retzius cells,3,0.27,1.000e+00,,,,0,0
Branchial arch epithelium,Deep-layer neurons,21,0.28,1.000e+00,12,0.3,1.000e+00,1,0
Fibroblasts,Enteric neurons,3,0.28,1.000e+00,,,,0,0
Fibroblasts,Neurons (Slc17a8+),4,0.4,1.000e+00,,,,0,0
Lung progenitor cells,Glutamatergic neurons,16,0.28,1.000e+00,10,0.29,1.000e+00,1,0
Otic epithelial cells,Cerebellar Purkinje cells,3,0.36,1.000e+00,,,,0,0
Myofibroblasts,Cajal-Retzius cells,11,0.3,1.000e+00,5,0.25,1.000e+00,1,0
Midgut/Hindgut epithelial cells,GABAergic cortical interneurons,7,0.22,1.000e+00,8,0.4,1.000e+00,1,0
Diencephalon,Cerebellar Purkinje cells,8,0.31,1.000e+00,3,0.24,1.000e+00,1,0
Border-associated macrophages,Olfactory sensory neurons,3,0.42,1.000e+00,,,,0,0
Thalamic neuronal precursors,Olfactory sensory neurons,4,0.29,1.000e+00,,,,0,0
Limb mesenchyme progenitors,Deep-layer neurons,67,0.26,1.000e+00,43,0.29,1.000e+00,1,0
Mast cells,GABAergic neurons,,,,5,0.6,1.000e+00,0,0
Hematopoietic stem cells (Cd34+),GABAergic neurons,43,0.24,1.000e+00,31,0.32,1.000e+00,1,0
Definitive early erythroblasts (CD36-),Spinal cord motor neurons,14,0.31,1.000e+00,4,0.2,1.000e+00,1,0
Lung progenitor cells,GABAergic cortical interneurons,6,0.18,1.000e+00,10,0.41,1.000e+00,1,0
Kupffer cells,Deep-layer neurons,5,0.33,1.000e+00,,,,0,0
Lateral plate and intermediate mesoderm,Deep-layer neurons,119,0.27,1.000e+00,58,0.23,1.000e+00,1,0
Telencephalon,Neural crest (PNS neurons),44,0.23,1.000e+00,29,0.34,1.000e+00,1,0
Chondrocytes (Atp1a2+),Cerebellar Purkinje cells,23,0.33,1.000e+00,4,0.14,1.000e+00,1,0
Lung progenitor cells,GABAergic neurons,8,0.28,1.000e+00,4,0.26,1.000e+00,1,0
Fibroblasts,Deep-layer neurons,255,0.26,1.000e+00,139,0.25,1.000e+00,1,0
Myoblasts,Deep-layer neurons,84,0.24,1.000e+00,55,0.28,1.000e+00,1,0
Dermatome,Deep-layer neurons,47,0.22,1.000e+00,36,0.29,1.000e+00,1,0
Border-associated macrophages,Cajal-Retzius cells,8,0.21,1.000e+00,9,0.31,1.000e+00,1,0
Pre-epidermal keratinocytes,Megakaryocytes,4,0.3,1.000e+00,,,,0,0
Mast cells,GABAergic cortical interneurons,3,0.25,1.000e+00,3,0.29,1.000e+00,1,0
Liver sinusoidal endothelial cells,Deep-layer neurons,4,0.3,1.000e+00,,,,0,0
Hematopoietic stem cells (Mpo+),GABAergic cortical interneurons,8,0.25,1.000e+00,4,0.25,1.000e+00,1,0
Naive retinal progenitor cells,Cerebellar Purkinje cells,,,,,,,0,0
Hepatocytes,GABAergic neurons,56,0.23,1.000e+00,47,0.25,1.000e+00,1,0
Hematopoietic stem cells (Cd34+),Cajal-Retzius cells,9,0.19,1.000e+00,11,0.33,1.000e+00,1,0
Facial mesenchyme,Retinal ganglion cells,3,0.38,1.000e+00,,,,0,0
Hepatocytes,GABAergic cortical interneurons,69,0.24,1.000e+00,62,0.23,1.000e+00,1,0
Thalamic neuronal precursors,Neural crest (PNS neurons),5,0.22,1.000e+00,3,0.31,1.000e+00,1,0
