"T0","T","gini_null_median","gini_null_lo","gini_null_hi"
5.5,5.5,0,0,0
5.5,5.66306164489796,0.151267056530214,0,0.260869565217391
5.5,5.82612328979592,0.233333333333333,0.101960784313726,0.349499178981938
5.5,5.98918493469388,0.294252873563218,0.181333333333333,0.410548872180451
5.5,6.15224657959184,0.340350877192982,0.222222222222222,0.458933088535292
5.5,6.3153082244898,0.367578221236758,0.251143883531859,0.478697916666667
5.5,6.47836986938776,0.390273466371027,0.266666666666667,0.515164884135472
5.5,6.64143151428571,0.407408836581131,0.275834204110066,0.521654761904762
5.5,6.80449315918367,0.418390804597701,0.296426519436215,0.542937888198758
5.5,6.96755480408163,0.428847404105136,0.302035398230088,0.55886695035461
5.5,7.13061644897959,0.437397102097069,0.308047785547786,0.567701496388029
5.5,7.29367809387755,0.447298380631714,0.312694479036945,0.579493817057647
5.5,7.45673973877551,0.447130385000716,0.315491257200254,0.58266172779532
5.5,7.61980138367347,0.457358674463938,0.321131230529595,0.585937641723356
5.5,7.78286302857143,0.459689023699939,0.321356251162819,0.592358146684234
5.5,7.94592467346939,0.456173625855155,0.322356472795497,0.592008259587021
5.5,8.10898631836735,0.456172440123338,0.320130492209677,0.591551477324782
5.5,8.2720479632653,0.459605280020505,0.324347346848344,0.597601273148148
5.5,8.43510960816326,0.463599268327001,0.319118519864341,0.606892117046756
5.5,8.59817125306122,0.458067280120806,0.332021292253348,0.594724980836385
5.5,8.76123289795918,0.461345199203491,0.327992390508516,0.60583329718135
5.5,8.92429454285714,0.466557954427536,0.324297335046627,0.60534852886057
5.5,9.0873561877551,0.462906424309933,0.318336536813666,0.595245410528093
5.5,9.25041783265306,0.462750253467287,0.325896700945978,0.604015864231691
5.5,9.41347947755102,0.465448098206335,0.332504324103338,0.607316607192322
5.5,9.57654112244898,0.468298950173182,0.326839002616475,0.601930059349127
5.5,9.73960276734694,0.466156008562577,0.313200176332352,0.6069219143771
5.5,9.9026644122449,0.466674184163182,0.317852967131152,0.607670232823307
5.5,10.0657260571429,0.463536813283975,0.326275024387651,0.610954954643828
5.5,10.2287877020408,0.467623933361231,0.321562666376247,0.595924355698888
5.5,10.3918493469388,0.46706313106063,0.318137703537123,0.599185855297621
5.5,10.5549109918367,0.467780932410827,0.33310252724153,0.609877998886791
5.5,10.7179726367347,0.469033385079252,0.330651819125724,0.606004337948116
5.5,10.8810342816327,0.459734588679688,0.327398789010758,0.600347323992019
5.5,11.0440959265306,0.468329041214823,0.332929756597494,0.613664082522596
5.5,11.2071575714286,0.465993368763918,0.320463973350649,0.602860340456153
5.5,11.3702192163265,0.459055144044,0.326780813574051,0.597135470876973
5.5,11.5332808612245,0.463918172340586,0.316413810584148,0.607693730208061
5.5,11.6963425061224,0.464673685327232,0.319646123232579,0.613093693704402
5.5,11.8594041510204,0.464717581667855,0.335292104139712,0.596263587938395
5.5,12.0224657959184,0.467711131613015,0.32844539242192,0.600014295162832
5.5,12.1855274408163,0.467055396055807,0.328711182664965,0.615055857130272
5.5,12.3485890857143,0.463753230416191,0.330307752390076,0.601326008477183
5.5,12.5116507306122,0.467925093607583,0.328766789278451,0.613309451922048
5.5,12.6747123755102,0.464406182003016,0.33933888272934,0.597673576697964
5.5,12.8377740204082,0.46802380499455,0.331573482166275,0.608276629094358
5.5,13.0008356653061,0.468093959562598,0.326226309403031,0.606316451235828
5.5,13.1638973102041,0.464550203975855,0.330813445608488,0.608754960058764
5.5,13.326958955102,0.468561877465191,0.319313495201839,0.602911635878676
5.5,13.4900206,0.466715868886681,0.322424048521362,0.599226100630672
6,6,0,0,0
6,6.15285756326531,0.135446824937271,0.091888270459699,0.180508314765817
6,6.30571512653061,0.22182393749236,0.182410687759953,0.261569850166835
6,6.45857268979592,0.286749311294766,0.243863826213215,0.32595138405124
6,6.61143025306122,0.331315503502934,0.295204113586466,0.370996711621712
6,6.76428781632653,0.36232858598759,0.32412841715206,0.40078709324915
6,6.91714537959184,0.389688615826698,0.346648880523246,0.428879496490396
6,7.07000294285714,0.408889169207426,0.367026149860464,0.452830906646956
6,7.22286050612245,0.424913300943875,0.384600802758461,0.468231772181013
6,7.37571806938776,0.437946283674132,0.394833553899167,0.481489979379952
6,7.52857563265306,0.44801126337027,0.403754645522282,0.492590430146124
6,7.68143319591837,0.455814579603007,0.409565261757125,0.504201035847915
6,7.83429075918367,0.462357687545494,0.416060757157077,0.511538572891173
6,7.98714832244898,0.469647324632701,0.417251366415174,0.514068498921728
6,8.14000588571428,0.473734473529387,0.428182582763705,0.520553209897366
6,8.29286344897959,0.475885426766251,0.42984735709811,0.521587591718998
6,8.4457210122449,0.481064665987313,0.43585457066312,0.525515530833906
6,8.5985785755102,0.483957837055323,0.434752339155817,0.531783702053139
6,8.75143613877551,0.483840048892533,0.441399663968477,0.532699459549472
6,8.90429370204082,0.486925591828588,0.438468354995113,0.536801521173862
6,9.05715126530612,0.487949789593575,0.439276557805652,0.533451912771027
6,9.21000882857143,0.48878083921497,0.438740813318564,0.539449143151255
6,9.36286639183673,0.490132984301213,0.4436392785483,0.539091464840578
