"T","gini"
7,0
7.1324494,0.233699455008722
7.2648988,0.364005349043712
7.3973482,0.442917775634378
7.5297976,0.50088895805679
7.662247,0.537103282589742
7.7946964,0.571603216314311
7.9271458,0.594541108921165
8.0595952,0.609923972212108
8.1920446,0.625441191523994
8.324494,0.636935207296603
8.4569434,0.646702882208254
8.5893928,0.654500105376523
8.7218422,0.662324405231287
8.8542916,0.668888225628474
8.986741,0.674482769108529
9.1191904,0.680674126786404
9.2516398,0.685944306615683
9.3840892,0.690633017476005
9.5165386,0.695452275171934
9.648988,0.699692744574259
9.7814374,0.703817308921167
9.9138868,0.708275442847766
10.0463362,0.712335283122344
10.1787856,0.716588733054847
10.311235,0.720994147006824
10.4436844,0.724688982493491
10.5761338,0.728325925462478
10.7085832,0.731946086130612
10.8410326,0.735375993388903
10.973482,0.739124918262849
11.1059314,0.742468894837045
11.2383808,0.745772435172233
11.3708302,0.748812536136167
11.5032796,0.751815963051125
11.635729,0.754689167734761
11.7681784,0.757583411571331
11.9006278,0.760469974629024
12.0330772,0.763030859445582
12.1655266,0.76549943747603
12.297976,0.767827672202931
12.4304254,0.769988046416239
12.5628748,0.772115917261988
12.6953242,0.774242222391682
12.8277736,0.776399381960905
12.960223,0.778803284819872
13.0926724,0.781324649850113
13.2251218,0.783657869663491
13.3575712,0.786220924340554
13.4900206,0.788264199628335
