celltype_1,celltype_2,category,log2_enr_A_K15,log2_enr_A_K200,log2_enr_B_K15,log2_enr_B_K200
Anterior floor plate,Naive retinal progenitor cells,neither,-1.6180,-2.0809,-1.3200,-2.0097
Anterior floor plate,Nephron progenitors,neither,-1.9661,-3.2269,-0.3565,-2.1290
Anterior floor plate,Neural crest (PNS glia),neither,-1.6565,-1.9436,-1.4397,-1.1242
Anterior floor plate,Neural crest (PNS neurons),neither,-1.4836,-1.8948,-0.8665,-1.4274
Anterior floor plate,Neural progenitor cells (Neurod1+),neither,0.0124,-0.8627,-0.8457,-1.2360
Anterior floor plate,Neurons (Slc17a8+),K15_only,1.5708,0.4495,1.5207,0.1019
Anterior floor plate,Olfactory bulb cells,neither,-0.1743,-1.7117,-0.5431,-2.4074
Anterior floor plate,Olfactory epithelial cells,neither,-2.7097,-2.3906,-1.4237,-2.3056
Anterior floor plate,Olfactory sensory neurons,neither,-1.2538,-2.4428,-0.8618,-2.9003
Anterior floor plate,Otic epithelial cells,neither,-1.8484,-2.2829,-1.8044,-1.8253
Anterior floor plate,Otic sensory neurons,neither,-1.5308,-1.9389,0.0781,-1.5368
Anterior floor plate,Pancreatic acinar cells,neither,-0.9494,-1.6681,-0.8844,-0.5942
Anterior floor plate,Parasympathetic neurons,neither,-0.8828,-2.1365,-1.0070,-1.4691
Anterior floor plate,Posterior roof plate,neither,-1.4687,-1.3265,-0.9469,-1.4503
Anterior floor plate,Pre-epidermal keratinocytes,neither,-1.0062,-1.3371,-1.1114,-1.0834
Anterior floor plate,Pre-osteoblasts (Sp7+),neither,-1.8024,-1.6369,-0.4378,-0.7708
Anterior floor plate,Primitive erythroid cells,neither,-0.3254,-1.1742,0.2379,-0.2085
Anterior floor plate,Retinal ganglion cells,neither,-1.6850,-1.8085,-1.7919,-1.5477
Anterior floor plate,Retinal pigment cells,neither,-0.8309,-1.2237,-0.8301,-1.2420
Anterior floor plate,Retinal progenitor cells,neither,-0.5707,-1.8924,-1.4165,-0.9785
Anterior floor plate,Sclerotome,neither,-1.1530,-1.0352,-0.7579,-0.7828
Anterior floor plate,Spinal cord dorsal progenitors,neither,-0.3976,-1.0170,-1.0603,-0.9661
Anterior floor plate,Spinal cord motor neurons,neither,-0.3922,-0.7099,0.8915,-0.4069
Anterior floor plate,Spinal cord ventral progenitors,neither,-0.6422,-0.1568,0.0252,-0.3196
Anterior floor plate,Spinal cord/r7/r8,neither,-1.0228,-1.1208,-0.8332,-0.6529
