celltype_1,celltype_2,category,log2_enr_A_K15,log2_enr_A_K200,log2_enr_B_K15,log2_enr_B_K200
Cranial motor neurons,Neural crest (PNS neurons),neither,-0.6473,-1.5247,0.0430,-1.3956
Cranial motor neurons,Neural progenitor cells (Neurod1+),neither,0.5523,-1.3665,0.2766,-1.2655
Cranial motor neurons,Neurons (Slc17a8+),neither,2.8829,1.0608,1.1704,0.0017
Cranial motor neurons,Olfactory bulb cells,neither,-1.7042,-1.9352,-1.2408,-2.2726
Cranial motor neurons,Olfactory epithelial cells,neither,-1.6973,-2.1838,-1.4026,-2.0441
Cranial motor neurons,Olfactory sensory neurons,neither,-0.8229,-2.5827,-1.0097,-2.3341
Cranial motor neurons,Otic epithelial cells,neither,0.1940,-1.3198,-0.0741,-1.4292
Cranial motor neurons,Otic sensory neurons,neither,0.0172,-1.2880,0.4495,-0.9836
Cranial motor neurons,Pancreatic acinar cells,neither,-0.6766,-2.1256,-0.6804,-0.5776
Cranial motor neurons,Parasympathetic neurons,K15_only,3.9860,0.3940,3.7019,-0.0057
Cranial motor neurons,Posterior roof plate,neither,0.9048,-0.6184,0.8531,-1.3352
Cranial motor neurons,Pre-epidermal keratinocytes,neither,-0.9810,-1.3030,-1.4245,-1.1080
Cranial motor neurons,Pre-osteoblasts (Sp7+),neither,-1.2754,-1.0468,0.5329,-0.7181
Cranial motor neurons,Primitive erythroid cells,neither,0.6082,-0.9730,-0.5808,-1.3691
Cranial motor neurons,Retinal ganglion cells,neither,-1.1670,-1.9560,-0.7992,-1.7212
Cranial motor neurons,Retinal pigment cells,neither,-0.5855,-1.4231,-0.6360,-2.1332
Cranial motor neurons,Retinal progenitor cells,neither,-1.1804,-2.1281,-0.1303,-1.5244
Cranial motor neurons,Sclerotome,neither,-0.9042,-0.8182,-0.6404,-0.7492
Cranial motor neurons,Spinal cord dorsal progenitors,neither,-0.5801,-0.8506,-0.0317,-0.8550
Cranial motor neurons,Spinal cord motor neurons,neither,1.0538,-0.2362,1.4177,0.0602
Cranial motor neurons,Spinal cord ventral progenitors,neither,1.2486,0.2050,0.3295,0.2040
Cranial motor neurons,Spinal cord/r7/r8,neither,-0.3998,-0.7735,0.3493,-0.7842
Cranial motor neurons,Sympathetic neurons,neither,0.5214,-1.2055,0.8771,-0.7164
Cranial motor neurons,Telencephalon,neither,-1.6020,-0.8412,-1.1172,-0.7107
Cranial motor neurons,Thalamic neuronal precursors,neither,-2.6960,-2.5827,-1.3294,-1.9281
Cranial motor neurons,Ureteric bud,neither,-0.6049,-0.8476,-0.5092,-1.4229
Deep-layer neurons,Definitive early erythroblasts (CD36-),neither,-4.0383,-2.1801,-3.9697,-2.0986
Deep-layer neurons,Definitive erythroblasts (CD36+),neither,-1.4963,-1.3199,-1.6526,-1.2923
Deep-layer neurons,Dermatome,neither,-1.8730,-1.2869,-1.8034,-1.1362
Deep-layer neurons,Dermomyotome,neither,-1.8300,-1.3613,-2.0094,-1.0941
Deep-layer neurons,Diencephalon,neither,-1.7647,-2.1731,-1.3738,-1.9357
Deep-layer neurons,Dorsal root ganglion neurons,neither,-1.7632,-1.0181,-1.2046,-0.8612
Deep-layer neurons,Dorsal telencephalon,neither,-0.3659,-1.2549,-0.2433,-1.0628
Deep-layer neurons,Early chondrocytes,neither,-1.9088,-1.2826,-1.7607,-1.0903
Deep-layer neurons,Endocardial cells,neither,-2.3099,-1.5712,-1.9689,-1.2444
Deep-layer neurons,Endothelium,neither,-1.7096,-1.4016,-1.6564,-1.1909
Deep-layer neurons,Enteric neurons,neither,-2.0788,-1.4760,-1.2547,-1.0933
Deep-layer neurons,Eye field,neither,-1.2786,-1.7329,-1.4196,-1.6620
Deep-layer neurons,Facial mesenchyme,neither,-1.6847,-1.1888,-1.6266,-1.0147
Deep-layer neurons,Fibroblasts,neither,-1.9966,-1.0409,-1.7429,-0.8472
Deep-layer neurons,First heart field,neither,-1.0259,-1.1707,-1.2198,-0.8735
Deep-layer neurons,Floorplate and p3 domain,neither,-2.0000,-1.2306,-1.1915,-0.8685
Deep-layer neurons,GABAergic cortical interneurons,neither,-1.1893,-1.0280,-1.0830,-0.8818
Deep-layer neurons,GABAergic neurons,neither,-1.6993,-1.0588,-1.5634,-0.9525
Deep-layer neurons,Glutamatergic neurons,neither,-1.5870,-0.9343,-1.4403,-0.7974
Deep-layer neurons,Granular keratinocytes,neither,-1.7004,-1.4516,-1.4922,-1.2959
Deep-layer neurons,Hematopoietic stem cells (Cd34+),neither,-3.8657,-3.3416,-3.6144,-3.0717
Deep-layer neurons,Hematopoietic stem cells (Mpo+),neither,-3.7609,-3.2929,-2.7242,-2.7380
Deep-layer neurons,Hepatocytes,neither,-3.5960,-2.9791,-3.9682,-3.0189
Deep-layer neurons,Hindbrain,neither,-1.5742,-1.3623,-1.4499,-1.1859
Deep-layer neurons,Hypothalamus,neither,-1.6971,-1.7653,-1.3263,-1.4459
Deep-layer neurons,Hypothalamus (Sim1+),neither,-0.7541,-0.7920,-1.8190,-0.7338
Deep-layer neurons,Intermediate neuronal progenitors,K15_only,0.9254,-1.1776,0.8996,-1.0565
Deep-layer neurons,Kupffer cells,neither,-2.9195,-3.0260,-2.7360,-2.3008
Deep-layer neurons,Lateral plate and intermediate mesoderm,neither,-2.1839,-1.2912,-2.0111,-1.1326
Deep-layer neurons,Limb mesenchyme progenitors,neither,-2.5243,-1.6255,-2.1263,-1.3293
Deep-layer neurons,Liver sinusoidal endothelial cells,neither,-2.2992,-1.7879,-1.6812,-1.4128
Deep-layer neurons,Lung progenitor cells,neither,-2.9184,-2.7230,-2.8150,-2.9910
Deep-layer neurons,Lymphatic vessel endothelial cells,neither,-1.8911,-1.5097,-1.8149,-1.2046
Deep-layer neurons,Mast cells,neither,-3.6280,-2.7624,-2.3144,-2.1914
Deep-layer neurons,Megakaryocytes,neither,-3.2225,-2.9043,-2.9924,-2.6722
Deep-layer neurons,Melanocyte cells,neither,-2.1811,-1.5459,-2.4999,-1.1601
Deep-layer neurons,Metanephric mesenchyme,neither,-2.6844,-2.5646,-2.2033,-2.4043
Deep-layer neurons,Microglia,neither,-2.4180,-2.5196,-2.4378,-1.9446
Deep-layer neurons,Midbrain,neither,-2.4038,-1.7155,-2.2789,-1.5875
Deep-layer neurons,Midbrain-hindbrain boundary,neither,-1.7734,-1.2842,-1.8271,-1.1220
Deep-layer neurons,Midgut/Hindgut epithelial cells,neither,-2.6426,-2.2286,-2.0161,-1.7148
Deep-layer neurons,Monocytes,neither,-4.9802,-2.8448,-2.2837,-1.7977
Deep-layer neurons,Muscle progenitor cells,neither,-2.1685,-1.1319,-1.9732,-0.9955
Deep-layer neurons,Myelinating Schwann cells,neither,-1.8348,-1.6267,-1.8524,-1.4658
Deep-layer neurons,Myelinating Schwann cells (Tgfb2+),neither,-1.9647,-2.0972,-2.0227,-2.0989
Deep-layer neurons,Myoblasts,neither,-2.3838,-1.4579,-2.1785,-1.2508
Deep-layer neurons,Myofibroblasts,neither,-2.1034,-1.5097,-1.9056,-1.4104
Deep-layer neurons,Naive retinal progenitor cells,neither,-1.5779,-2.1889,-1.7992,-2.1720
Deep-layer neurons,Nephron progenitors,neither,-2.4796,-2.0825,-2.8484,-2.0785
Deep-layer neurons,Neural crest (PNS glia),neither,-1.7860,-1.4398,-1.5427,-1.2656
Deep-layer neurons,Neural crest (PNS neurons),neither,-2.3724,-1.8772,-2.1278,-1.6879
Deep-layer neurons,Neural progenitor cells (Neurod1+),neither,-1.0303,-1.2660,-0.7099,-1.3039
Deep-layer neurons,Neurons (Slc17a8+),neither,-1.2907,-1.1016,-0.8834,-0.7307
Deep-layer neurons,Olfactory bulb cells,neither,-2.1334,-2.0110,-1.7459,-2.0745
Deep-layer neurons,Olfactory epithelial cells,neither,-2.3511,-2.2535,-1.7672,-2.1379
Deep-layer neurons,Olfactory sensory neurons,neither,-2.5146,-2.6128,-2.2450,-2.5714
Deep-layer neurons,Otic epithelial cells,neither,-2.0082,-1.9513,-2.2456,-1.6997
Deep-layer neurons,Otic sensory neurons,neither,-1.9423,-1.6423,-1.4785,-1.3611
Deep-layer neurons,Pancreatic acinar cells,neither,-1.7801,-1.5097,-2.4009,-1.5037
Deep-layer neurons,Parasympathetic neurons,neither,-1.7355,-1.8592,-1.6184,-1.6857
Deep-layer neurons,Posterior roof plate,neither,-2.6801,-0.9858,-1.6555,-1.0434
Deep-layer neurons,Pre-epidermal keratinocytes,neither,-1.8681,-1.4497,-1.7475,-1.3467
Deep-layer neurons,Pre-osteoblasts (Sp7+),neither,-1.6625,-1.3573,-1.4265,-1.1052
Deep-layer neurons,Primitive erythroid cells,neither,-0.6463,-0.7240,-1.0137,-0.8028
Deep-layer neurons,Retinal ganglion cells,neither,-1.4728,-1.7199,-1.3970,-1.8218
Deep-layer neurons,Retinal pigment cells,neither,-1.0733,-0.8749,-0.7812,-0.7546
Deep-layer neurons,Retinal progenitor cells,neither,-1.0789,-1.2125,-0.7740,-1.2376
Deep-layer neurons,Sclerotome,neither,-1.7974,-1.1543,-1.6088,-0.9705
Deep-layer neurons,Spinal cord dorsal progenitors,neither,-1.5983,-1.1491,-1.4616,-1.0355
Deep-layer neurons,Spinal cord motor neurons,neither,-1.8691,-1.2640,-1.9271,-1.2142
Deep-layer neurons,Spinal cord ventral progenitors,neither,-1.3664,-0.9623,-1.0339,-0.6864
Deep-layer neurons,Spinal cord/r7/r8,neither,-1.5484,-1.2468,-1.3891,-1.1107
Deep-layer neurons,Sympathetic neurons,neither,-2.0818,-1.7931,-1.6551,-1.6340
Deep-layer neurons,Telencephalon,neither,-0.3470,-0.9179,-0.3447,-0.7782
Deep-layer neurons,Thalamic neuronal precursors,neither,-1.9937,-2.2789,-1.5015,-1.8217
Deep-layer neurons,Ureteric bud,neither,-1.9281,-1.8690,-2.5706,-2.0933
Definitive early erythroblasts (CD36-),Definitive erythroblasts (CD36+),neither,0.0656,-0.5709,-0.1024,-0.5434
Definitive early erythroblasts (CD36-),Dermatome,neither,-3.0865,-1.6627,-2.9972,-1.6219
Definitive early erythroblasts (CD36-),Dermomyotome,neither,-3.5180,-1.8608,-4.5345,-1.7819
Definitive early erythroblasts (CD36-),Diencephalon,neither,-4.4008,-3.1791,-4.2002,-2.9143
Definitive early erythroblasts (CD36-),Dorsal root ganglion neurons,neither,-3.3874,-1.5596,-4.4100,-1.5817
Definitive early erythroblasts (CD36-),Dorsal telencephalon,neither,-4.0387,-2.3062,-3.3446,-2.1587
Definitive early erythroblasts (CD36-),Early chondrocytes,neither,-3.2928,-1.7167,-3.1962,-1.6495
Definitive early erythroblasts (CD36-),Endocardial cells,neither,-2.9540,-1.8763,-2.5890,-1.5946
Definitive early erythroblasts (CD36-),Endothelium,neither,-2.3438,-1.5441,-2.3710,-1.5190
Definitive early erythroblasts (CD36-),Enteric neurons,neither,-3.3566,-1.8084,-3.4459,-1.2487
Definitive early erythroblasts (CD36-),Eye field,neither,-3.7664,-2.5340,-3.8137,-2.6345
Definitive early erythroblasts (CD36-),Facial mesenchyme,neither,-3.2761,-1.6636,-3.2547,-1.6291
Definitive early erythroblasts (CD36-),Fibroblasts,neither,-3.2115,-1.5454,-3.0582,-1.4746
Definitive early erythroblasts (CD36-),First heart field,neither,-1.9999,-1.3731,-2.5635,-1.2158
Definitive early erythroblasts (CD36-),Floorplate and p3 domain,neither,-2.8620,-1.6512,-3.0146,-1.4732
Definitive early erythroblasts (CD36-),GABAergic cortical interneurons,neither,-3.7766,-1.7650,-3.5861,-1.6712
Definitive early erythroblasts (CD36-),GABAergic neurons,neither,-3.4354,-1.6585,-3.2467,-1.6069
Definitive early erythroblasts (CD36-),Glutamatergic neurons,neither,-3.4849,-1.5755,-3.3002,-1.5156
Definitive early erythroblasts (CD36-),Granular keratinocytes,neither,-3.1404,-1.8758,-3.0907,-1.7359
Definitive early erythroblasts (CD36-),Hematopoietic stem cells (Cd34+),neither,-0.4395,-2.1748,-0.6693,-2.2272
Definitive early erythroblasts (CD36-),Hematopoietic stem cells (Mpo+),neither,0.4423,-1.2589,0.2135,-1.2067
Definitive early erythroblasts (CD36-),Hepatocytes,neither,-4.3215,-3.2678,-5.0191,-3.4276
Definitive early erythroblasts (CD36-),Hindbrain,neither,-3.3713,-1.9089,-3.2221,-1.7946
Definitive early erythroblasts (CD36-),Hypothalamus,neither,-3.8393,-2.3988,-3.4925,-2.1754
Definitive early erythroblasts (CD36-),Hypothalamus (Sim1+),neither,-3.1610,-1.4861,-2.5528,-1.1313
Definitive early erythroblasts (CD36-),Intermediate neuronal progenitors,neither,-3.9606,-2.3306,-3.9920,-2.3407
Definitive early erythroblasts (CD36-),Kupffer cells,neither,0.0459,-1.4104,-0.1946,-1.3059
Definitive early erythroblasts (CD36-),Lateral plate and intermediate mesoderm,neither,-3.1425,-1.6728,-3.1738,-1.6310
Definitive early erythroblasts (CD36-),Limb mesenchyme progenitors,neither,-3.3129,-1.9275,-3.3343,-1.8492
Definitive early erythroblasts (CD36-),Liver sinusoidal endothelial cells,neither,-2.7704,-1.9798,-2.4135,-1.5825
Definitive early erythroblasts (CD36-),Lung progenitor cells,neither,-4.0907,-2.8483,-4.3892,-3.4420
Definitive early erythroblasts (CD36-),Lymphatic vessel endothelial cells,neither,-2.8422,-1.6255,-3.0720,-1.6436
Definitive early erythroblasts (CD36-),Mast cells,K15_only,0.6979,-0.7045,0.4583,-0.7456
Definitive early erythroblasts (CD36-),Megakaryocytes,neither,0.2007,-1.4816,0.1232,-1.4134
Definitive early erythroblasts (CD36-),Melanocyte cells,neither,-3.8581,-1.9450,-2.7859,-1.7389
Definitive early erythroblasts (CD36-),Metanephric mesenchyme,neither,-4.3165,-2.9877,-4.3196,-3.0753
Definitive early erythroblasts (CD36-),Microglia,neither,0.4852,-0.6584,0.2399,-0.6874
Definitive early erythroblasts (CD36-),Midbrain,neither,-4.3285,-2.4179,-4.4457,-2.4019
Definitive early erythroblasts (CD36-),Midbrain-hindbrain boundary,neither,-3.4141,-1.8864,-3.4710,-2.0730
Definitive early erythroblasts (CD36-),Midgut/Hindgut epithelial cells,neither,-4.0070,-2.5283,-3.2234,-2.1835
Definitive early erythroblasts (CD36-),Monocytes,K15_only,0.5774,-0.5332,0.4841,-0.5023
Definitive early erythroblasts (CD36-),Muscle progenitor cells,neither,-4.3094,-1.4293,-3.5136,-1.2925
Definitive early erythroblasts (CD36-),Myelinating Schwann cells,neither,-3.5808,-2.1372,-3.3364,-2.0847
Definitive early erythroblasts (CD36-),Myelinating Schwann cells (Tgfb2+),neither,-3.7154,-2.6490,-3.3895,-2.5891
Definitive early erythroblasts (CD36-),Myoblasts,neither,-3.6806,-1.9507,-3.5285,-1.7747
Definitive early erythroblasts (CD36-),Myofibroblasts,neither,-3.4029,-1.8677,-3.1436,-1.8380
Definitive early erythroblasts (CD36-),Naive retinal progenitor cells,neither,-4.2035,-3.0275,-4.5160,-3.0655
Definitive early erythroblasts (CD36-),Nephron progenitors,neither,-4.0448,-2.6040,-3.5961,-2.5429
Definitive early erythroblasts (CD36-),Neural crest (PNS glia),neither,-3.3218,-1.8637,-3.3181,-1.8941
Definitive early erythroblasts (CD36-),Neural crest (PNS neurons),neither,-3.8442,-2.3307,-3.5537,-2.3128
Definitive early erythroblasts (CD36-),Neural progenitor cells (Neurod1+),neither,-3.9715,-2.2822,-3.2736,-2.3776
Definitive early erythroblasts (CD36-),Neurons (Slc17a8+),neither,-2.6043,-1.7195,-3.2370,-1.3616
Definitive early erythroblasts (CD36-),Olfactory bulb cells,neither,-3.5512,-2.5217,-4.6254,-2.8694
Definitive early erythroblasts (CD36-),Olfactory epithelial cells,neither,-4.0617,-2.7786,-4.3390,-2.8367
Definitive early erythroblasts (CD36-),Olfactory sensory neurons,neither,-4.2677,-3.2309,-3.9888,-3.1802
Definitive early erythroblasts (CD36-),Otic epithelial cells,neither,-3.3950,-2.3118,-2.8714,-2.0640
Definitive early erythroblasts (CD36-),Otic sensory neurons,neither,-3.4388,-2.1326,-2.6161,-1.8574
Definitive early erythroblasts (CD36-),Pancreatic acinar cells,neither,-3.7426,-2.1341,-4.0446,-1.9014
Definitive early erythroblasts (CD36-),Parasympathetic neurons,neither,-3.6823,-2.2429,-3.1640,-2.2195
Definitive early erythroblasts (CD36-),Posterior roof plate,neither,-3.8475,-1.5843,-3.3684,-1.6574
Definitive early erythroblasts (CD36-),Pre-epidermal keratinocytes,neither,-3.4440,-1.9455,-3.3121,-1.9339
Definitive early erythroblasts (CD36-),Pre-osteoblasts (Sp7+),neither,-3.2321,-1.7516,-2.9522,-1.6910
Definitive early erythroblasts (CD36-),Primitive erythroid cells,neither,-0.9666,-0.7950,-0.8609,-0.8465
Definitive early erythroblasts (CD36-),Retinal ganglion cells,neither,-3.7408,-2.5960,-3.8340,-2.8318
Definitive early erythroblasts (CD36-),Retinal pigment cells,neither,-2.6829,-1.6011,-3.3404,-1.7465
Definitive early erythroblasts (CD36-),Retinal progenitor cells,neither,-3.6400,-1.9596,-4.0145,-2.3178
Definitive early erythroblasts (CD36-),Sclerotome,neither,-3.1180,-1.5945,-3.1549,-1.5945
Definitive early erythroblasts (CD36-),Spinal cord dorsal progenitors,neither,-3.3950,-1.6780,-3.2515,-1.7543
Definitive early erythroblasts (CD36-),Spinal cord motor neurons,neither,-3.0735,-1.7122,-2.8922,-1.7446
Definitive early erythroblasts (CD36-),Spinal cord ventral progenitors,neither,-2.9510,-1.4851,-3.3287,-1.5882
Definitive early erythroblasts (CD36-),Spinal cord/r7/r8,neither,-3.2756,-1.8235,-3.0261,-1.7263
Definitive early erythroblasts (CD36-),Sympathetic neurons,neither,-3.6108,-2.2148,-3.2676,-2.2297
Definitive early erythroblasts (CD36-),Telencephalon,neither,-3.9055,-1.7739,-3.7995,-1.6781
Definitive early erythroblasts (CD36-),Thalamic neuronal precursors,neither,-4.4848,-3.2219,-3.9380,-2.6316
Definitive early erythroblasts (CD36-),Ureteric bud,neither,-3.9091,-2.2759,-4.1862,-2.4408
Definitive erythroblasts (CD36+),Dermatome,neither,-1.3135,-0.8307,-0.5317,-0.6188
Definitive erythroblasts (CD36+),Dermomyotome,neither,-0.6358,-1.5602,-0.4897,-1.2077
Definitive erythroblasts (CD36+),Diencephalon,neither,-1.0107,-2.1997,-3.1854,-2.6336
Definitive erythroblasts (CD36+),Dorsal root ganglion neurons,neither,-0.7969,-0.7625,-0.5500,-0.9788
Definitive erythroblasts (CD36+),Dorsal telencephalon,neither,-0.5345,-1.3565,-0.1085,-1.2548
Definitive erythroblasts (CD36+),Early chondrocytes,neither,-1.4089,-1.0506,-0.8338,-0.7614
Definitive erythroblasts (CD36+),Endocardial cells,neither,-0.8637,-1.3289,-0.7528,-0.8752
Definitive erythroblasts (CD36+),Endothelium,neither,-2.4213,-1.2534,-1.1213,-0.7578
Definitive erythroblasts (CD36+),Enteric neurons,neither,-0.6651,-1.6488,-0.3053,-1.2037
Definitive erythroblasts (CD36+),Eye field,neither,-0.4877,-1.2248,-0.7175,-1.4026
Definitive erythroblasts (CD36+),Facial mesenchyme,neither,-1.0899,-0.8567,-0.8955,-0.5767
Definitive erythroblasts (CD36+),Fibroblasts,neither,-1.5389,-0.4093,-0.8580,-0.4518
Definitive erythroblasts (CD36+),First heart field,neither,-0.5069,-0.8667,-0.4440,-1.0969
Definitive erythroblasts (CD36+),Floorplate and p3 domain,neither,-1.3640,-0.9181,0.5901,-0.6432
Definitive erythroblasts (CD36+),GABAergic cortical interneurons,neither,-1.1215,-0.6497,-0.8434,-0.4420
Definitive erythroblasts (CD36+),GABAergic neurons,neither,-1.1806,-0.6933,-0.6638,-0.5375
Definitive erythroblasts (CD36+),Glutamatergic neurons,neither,-1.3037,-0.4509,-1.0564,-0.2568
Definitive erythroblasts (CD36+),Granular keratinocytes,neither,-0.8805,-1.0421,0.0513,-0.9897
Definitive erythroblasts (CD36+),Hematopoietic stem cells (Cd34+),neither,-0.8250,-1.2052,-1.5106,-1.0881
Definitive erythroblasts (CD36+),Hematopoietic stem cells (Mpo+),neither,1.1102,-0.3311,0.3161,-0.2040
Definitive erythroblasts (CD36+),Hepatocytes,neither,-3.0825,-2.6483,-2.7777,-2.3056
Definitive erythroblasts (CD36+),Hindbrain,neither,-0.2681,-1.0710,-0.8936,-1.1610
Definitive erythroblasts (CD36+),Hypothalamus,neither,-1.0757,-2.2807,-0.2223,-1.7381
Definitive erythroblasts (CD36+),Hypothalamus (Sim1+),neither,0.6518,0.0667,0.6732,0.3312
Definitive erythroblasts (CD36+),Intermediate neuronal progenitors,neither,-0.3574,-1.7212,-1.7299,-1.7440
Definitive erythroblasts (CD36+),Kupffer cells,both_K,2.3584,0.7284,1.8537,0.6262
Definitive erythroblasts (CD36+),Lateral plate and intermediate mesoderm,neither,-1.7223,-0.8748,-1.0109,-0.6954
Definitive erythroblasts (CD36+),Limb mesenchyme progenitors,neither,-1.1045,-1.3524,-1.2147,-0.9168
Definitive erythroblasts (CD36+),Liver sinusoidal endothelial cells,neither,-1.6377,-1.6861,-1.2798,-1.1848
Definitive erythroblasts (CD36+),Lung progenitor cells,neither,-0.6713,-2.3089,-1.5981,-1.8415
Definitive erythroblasts (CD36+),Lymphatic vessel endothelial cells,neither,-1.2592,-1.7378,-0.0755,-1.4771
Definitive erythroblasts (CD36+),Mast cells,both_K,2.6503,1.6682,2.2292,1.1452
Definitive erythroblasts (CD36+),Megakaryocytes,neither,0.8442,-0.0731,0.2062,-0.3358
Definitive erythroblasts (CD36+),Melanocyte cells,neither,-0.5942,-1.5041,-0.4440,-1.7315
Definitive erythroblasts (CD36+),Metanephric mesenchyme,neither,-1.5975,-1.8403,-1.4156,-1.7907
Definitive erythroblasts (CD36+),Microglia,K200_only,2.3299,1.3486,1.5150,1.4504
Definitive erythroblasts (CD36+),Midbrain,neither,-1.9166,-1.3282,-1.4051,-1.3566
Definitive erythroblasts (CD36+),Midbrain-hindbrain boundary,neither,0.3563,-2.1678,-0.3661,0.1131
Definitive erythroblasts (CD36+),Midgut/Hindgut epithelial cells,neither,-0.6474,-1.5532,-1.4677,-1.1814
Definitive erythroblasts (CD36+),Monocytes,neither,0.6566,0.7425,-0.3374,0.6059
Definitive erythroblasts (CD36+),Muscle progenitor cells,neither,-0.4296,-0.9818,-0.3188,-1.2636
Definitive erythroblasts (CD36+),Myelinating Schwann cells,neither,-0.5757,-1.6368,-1.2687,-1.5630
Definitive erythroblasts (CD36+),Myelinating Schwann cells (Tgfb2+),neither,-1.4550,-2.6200,-0.1653,-1.0349
Definitive erythroblasts (CD36+),Myoblasts,neither,-2.3788,-1.1793,-1.2271,-0.7756
Definitive erythroblasts (CD36+),Myofibroblasts,neither,-0.7293,-1.4151,-0.7070,-1.4160
Definitive erythroblasts (CD36+),Naive retinal progenitor cells,neither,-0.6128,-2.0930,-0.9348,-2.6555
Definitive erythroblasts (CD36+),Nephron progenitors,neither,-0.7882,-1.1652,-0.6122,-3.1827
Definitive erythroblasts (CD36+),Neural crest (PNS glia),neither,-0.6480,-1.1494,-2.1165,-0.9598
Definitive erythroblasts (CD36+),Neural crest (PNS neurons),neither,-1.1924,-1.6723,-0.1640,-1.7139
Definitive erythroblasts (CD36+),Neural progenitor cells (Neurod1+),neither,0.1344,-1.4544,0.2703,-1.6842
Definitive erythroblasts (CD36+),Neurons (Slc17a8+),neither,-0.5922,-1.0552,1.1313,-0.6747
Definitive erythroblasts (CD36+),Olfactory bulb cells,neither,-0.9096,-0.9548,-0.7210,-2.4439
Definitive erythroblasts (CD36+),Olfactory epithelial cells,neither,-1.5001,-2.2356,-2.1030,-2.6089
Definitive erythroblasts (CD36+),Olfactory sensory neurons,neither,-1.6127,-2.4857,-1.1225,-2.6505
Definitive erythroblasts (CD36+),Otic epithelial cells,neither,-2.1216,-1.8404,-1.5981,-1.4878
Definitive erythroblasts (CD36+),Otic sensory neurons,neither,-0.5448,-1.5579,-0.1799,-1.2160
Definitive erythroblasts (CD36+),Pancreatic acinar cells,neither,-0.3018,-1.0983,-0.3635,-1.4029
Definitive erythroblasts (CD36+),Parasympathetic neurons,neither,-1.0931,-1.4799,-0.0163,-1.6432
Definitive erythroblasts (CD36+),Posterior roof plate,neither,-0.5281,-0.3687,-0.3943,-1.5614
Definitive erythroblasts (CD36+),Pre-epidermal keratinocytes,neither,-0.5088,-1.3235,-0.8645,-1.2383
Definitive erythroblasts (CD36+),Pre-osteoblasts (Sp7+),neither,-0.3186,-1.2652,-1.3199,-0.6354
Definitive erythroblasts (CD36+),Primitive erythroid cells,neither,1.1239,0.9044,-0.3053,0.3711
Definitive erythroblasts (CD36+),Retinal ganglion cells,neither,-1.2376,-1.5394,-1.5883,-2.2682
Definitive erythroblasts (CD36+),Retinal pigment cells,neither,0.7435,0.0029,-0.3374,-0.0542
Definitive erythroblasts (CD36+),Retinal progenitor cells,neither,-0.5778,-0.6784,-0.6466,-1.7030
Definitive erythroblasts (CD36+),Sclerotome,neither,-0.9216,-0.7590,-0.4386,-0.6556
Definitive erythroblasts (CD36+),Spinal cord dorsal progenitors,neither,-1.2241,-1.2950,-0.7076,-1.3441
Definitive erythroblasts (CD36+),Spinal cord motor neurons,neither,-0.0225,-0.5650,0.3805,-0.1967
Definitive erythroblasts (CD36+),Spinal cord ventral progenitors,neither,-0.9417,-1.2058,-0.7310,-0.2576
Definitive erythroblasts (CD36+),Spinal cord/r7/r8,neither,-0.1544,-0.9558,-0.8655,-0.9006
Definitive erythroblasts (CD36+),Sympathetic neurons,neither,-0.6405,-1.7349,-0.7539,-1.5562
Definitive erythroblasts (CD36+),Telencephalon,neither,-1.5349,-0.6900,-1.2003,-0.4719
Definitive erythroblasts (CD36+),Thalamic neuronal precursors,neither,-1.3830,-2.5005,-1.6834,-1.7696
Definitive erythroblasts (CD36+),Ureteric bud,neither,0.7416,-1.0047,-0.9093,-2.7519
Dermatome,Dermomyotome,neither,-0.2928,-0.8001,-0.5344,-0.6298
Dermatome,Diencephalon,neither,-2.1989,-2.3150,-1.9385,-2.0486
Dermatome,Dorsal root ganglion neurons,neither,-0.5454,-0.5133,-0.4196,-0.4589
Dermatome,Dorsal telencephalon,neither,-1.6897,-1.6633,-1.4472,-1.2363
Dermatome,Early chondrocytes,neither,0.0809,-0.6311,0.1481,-0.5703
Dermatome,Endocardial cells,neither,-1.1104,-0.9947,-0.5810,-0.8077
Dermatome,Endothelium,neither,-0.3180,-0.7951,-0.2263,-0.7149
Dermatome,Enteric neurons,neither,-1.0817,-1.0777,-0.0125,-0.5551
Dermatome,Eye field,neither,-1.4712,-1.8837,-1.6881,-1.6460
Dermatome,Facial mesenchyme,neither,0.0159,-0.6036,-0.0522,-0.5802
Dermatome,Fibroblasts,neither,-0.0274,-0.4798,0.0024,-0.4160
Dermatome,First heart field,neither,-0.2695,-0.6115,0.0404,-0.5149
Dermatome,Floorplate and p3 domain,neither,-0.4245,-0.8030,-0.5512,-0.6622
Dermatome,GABAergic cortical interneurons,neither,-1.7310,-0.8352,-1.4698,-0.6832
Dermatome,GABAergic neurons,neither,-1.0769,-0.6781,-0.9488,-0.5967
Dermatome,Glutamatergic neurons,neither,-1.1505,-0.5570,-0.9974,-0.4956
Dermatome,Granular keratinocytes,neither,-0.8357,-1.0441,-0.5413,-0.8539
Dermatome,Hematopoietic stem cells (Cd34+),neither,-2.4369,-2.5039,-2.0816,-2.4516
Dermatome,Hematopoietic stem cells (Mpo+),neither,-2.5386,-2.2945,-1.9399,-2.0174
Dermatome,Hepatocytes,neither,-2.9289,-2.5743,-2.8847,-2.6215
Dermatome,Hindbrain,neither,-1.0755,-0.9940,-0.8155,-0.9322
Dermatome,Hypothalamus,neither,-1.5580,-1.6079,-1.3787,-1.3438
