"blastomere","rank","size","blast"
"B1",178,992,"Blastomere A"
"B1",179,986,"Blastomere A"
"B1",180,981,"Blastomere A"
"B1",181,979,"Blastomere A"
"B1",182,977,"Blastomere A"
"B1",183,975,"Blastomere A"
"B1",184,973,"Blastomere A"
"B1",185,968,"Blastomere A"
"B1",186,968,"Blastomere A"
"B1",187,961,"Blastomere A"
"B1",188,952,"Blastomere A"
"B1",189,942,"Blastomere A"
"B1",190,929,"Blastomere A"
"B1",191,927,"Blastomere A"
"B1",192,922,"Blastomere A"
"B1",193,920,"Blastomere A"
"B1",194,911,"Blastomere A"
"B1",195,905,"Blastomere A"
"B1",196,887,"Blastomere A"
"B1",197,886,"Blastomere A"
"B1",198,878,"Blastomere A"
"B1",199,867,"Blastomere A"
"B1",200,860,"Blastomere A"
"B1",201,857,"Blastomere A"
"B1",202,857,"Blastomere A"
"B1",203,852,"Blastomere A"
"B1",204,849,"Blastomere A"
"B1",205,833,"Blastomere A"
"B1",206,832,"Blastomere A"
"B1",207,829,"Blastomere A"
"B1",208,824,"Blastomere A"
"B1",209,820,"Blastomere A"
"B1",210,817,"Blastomere A"
"B1",211,799,"Blastomere A"
"B1",212,797,"Blastomere A"
"B1",213,797,"Blastomere A"
"B1",214,796,"Blastomere A"
"B1",215,790,"Blastomere A"
"B1",216,786,"Blastomere A"
"B1",217,785,"Blastomere A"
"B1",218,780,"Blastomere A"
"B1",219,778,"Blastomere A"
"B1",220,778,"Blastomere A"
"B1",221,772,"Blastomere A"
"B1",222,764,"Blastomere A"
"B1",223,761,"Blastomere A"
"B1",224,757,"Blastomere A"
"B1",225,755,"Blastomere A"
"B1",226,751,"Blastomere A"
"B1",227,749,"Blastomere A"
"B1",228,743,"Blastomere A"
"B1",229,742,"Blastomere A"
"B1",230,740,"Blastomere A"
"B1",231,739,"Blastomere A"
"B1",232,739,"Blastomere A"
"B1",233,732,"Blastomere A"
"B1",234,732,"Blastomere A"
"B1",235,726,"Blastomere A"
"B1",236,726,"Blastomere A"
"B1",237,725,"Blastomere A"
"B1",238,722,"Blastomere A"
"B1",239,716,"Blastomere A"
"B1",240,716,"Blastomere A"
"B1",241,716,"Blastomere A"
"B1",242,714,"Blastomere A"
"B1",243,710,"Blastomere A"
"B1",244,700,"Blastomere A"
"B1",245,697,"Blastomere A"
"B1",246,690,"Blastomere A"
"B1",247,686,"Blastomere A"
"B1",248,685,"Blastomere A"
"B1",249,682,"Blastomere A"
"B1",250,681,"Blastomere A"
"B1",251,679,"Blastomere A"
"B1",252,674,"Blastomere A"
"B1",253,672,"Blastomere A"
"B1",254,668,"Blastomere A"
"B1",255,663,"Blastomere A"
"B1",256,661,"Blastomere A"
"B1",257,650,"Blastomere A"
"B1",258,647,"Blastomere A"
"B1",259,645,"Blastomere A"
"B1",260,638,"Blastomere A"
"B1",261,636,"Blastomere A"
"B1",262,636,"Blastomere A"
"B1",263,634,"Blastomere A"
"B1",264,634,"Blastomere A"
