"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f138","B_cells",NA,0,130,243,"B1"
"f139","B_cells",NA,0,130,525,"B2"
"f140","B_cells",NA,0,130,112,"B1"
"f141","B_cells",NA,0,130,354,"B1"
"f142","B_cells",NA,0,130,39,"B1"
"f143","B_cells",NA,0,130,36,"B1"
"f144","B_cells",NA,0,130,1436,"B1"
"f145","B_cells",NA,0,130,193,"B1"
"f146","B_cells",NA,0,130,771,"B2"
"f147","B_cells",NA,0,130,1212,"B1"
"f148","B_cells",NA,0,130,301,"B2"
"f149","B_cells",NA,0,130,41,"B1"
"f150","B_cells",NA,0,130,123,"B1"
"f151","B_cells",NA,0,130,41,"B2"
"f152","B_cells",NA,0,130,370,"B1"
"f153","B_cells",NA,0,130,68,"B1"
"f154","B_cells",NA,0,130,285,"B2"
"f155","B_cells",NA,0,130,19,"B1"
"f156","B_cells",NA,0,130,103,"B2"
"f157","B_cells",NA,0,130,65,"B1"
"f158","B_cells",NA,0,130,384,"B2"
"f159","B_cells",NA,0,130,81,"B2"
"f160","B_cells",NA,0,130,197,"B1"
"f161","B_cells",NA,0,130,43,"B2"
"f162","B_cells",NA,0,130,102,"B1"
"f163","B_cells",NA,0,130,185,"B1"
"f164","B_cells",NA,0,130,340,"B1"
"f165","B_cells",NA,0,130,32,"B1"
"f166","B_cells",NA,0,130,40,"B1"
"f167","B_cells",NA,0,130,64,"B1"
"f168","B_cells",NA,0,130,88,"B2"
"f169","B_cells",NA,0,130,77,"B1"
"f170","B_cells",NA,0,130,77,"B1"
"f171","B_cells",NA,0,130,45,"B2"
"f172","B_cells",NA,0,130,247,"B2"
"f173","B_cells",NA,0,130,34,"B2"
"f174","B_cells",NA,0,130,39,"B1"
"f175","B_cells",NA,0,130,381,"B1"
"f176","B_cells",NA,0,130,101,"B1"
"f177","B_cells",NA,0,130,116,"B1"
"f178","B_cells",NA,0,130,726,"B1"
"f179","B_cells",NA,0,130,18,"B1"
"f180","B_cells",NA,0,130,18,"B1"
"f181","B_cells",NA,0,130,18,"B1"
"f182","B_cells",NA,0,130,18,"B2"
"f183","B_cells",NA,0,130,36,"B2"
"f184","B_cells",NA,0,130,167,"B1"
"f185","B_cells",NA,0,130,141,"B1"
"f186","B_cells",NA,0,130,565,"B1"
"f187","B_cells",NA,0,130,23,"B2"
"f188","B_cells",NA,0,130,69,"B2"
"f189","B_cells",NA,0,130,69,"B2"
"f190","B_cells",NA,0,130,1845,"B1"
"f191","B_cells",NA,0,130,551,"B2"
"f192","B_cells",NA,0,130,968,"B1"
"f193","B_cells",NA,0,130,33,"B1"
"f194","B_cells",NA,0,130,33,"B1"
"f195","B_cells",NA,0,130,170,"B1"
"f196","B_cells",NA,0,130,510,"B2"
"f197","B_cells",NA,0,130,382,"B2"
"f198","B_cells",NA,0,130,293,"B1"
"f199","B_cells",NA,0,130,247,"B2"
"f200","B_cells",NA,0,130,413,"B2"
"f201","B_cells",NA,0,130,25,"B2"
"f202","B_cells",NA,0,130,30,"B2"
"f203","B_cells",NA,0,130,736,"B2"
"f204","B_cells",NA,0,130,139,"B2"
"f205","B_cells",NA,0,130,325,"B1"
"f206","B_cells",NA,0,130,52,"B2"
"f207","B_cells",NA,0,130,99,"B2"
"f208","B_cells",NA,0,130,42,"B2"
"f209","B_cells",NA,0,130,212,"B2"
"f210","B_cells",NA,0,130,32,"B1"
"f211","B_cells",NA,0,130,150,"B2"
"f212","B_cells",NA,0,130,86,"B1"
"f213","B_cells",NA,0,130,54,"B1"
"f214","B_cells",NA,0,130,157,"B2"
"f215","B_cells",NA,0,130,179,"B2"
"f216","B_cells",NA,0,130,78,"B1"
"f217","B_cells",NA,0,130,263,"B1"
"f218","B_cells",NA,0,130,34,"B1"
"f219","B_cells",NA,0,130,17,"B2"
"f220","B_cells",NA,0,130,131,"B1"
"f221","B_cells",NA,0,130,1022,"B1"
"f222","B_cells",NA,0,130,92,"B1"
"f223","B_cells",NA,0,130,636,"B2"
"f224","B_cells",NA,0,130,220,"B2"
"f225","B_cells",NA,0,130,29,"B2"
"f226","B_cells",NA,0,130,29,"B2"
"f227","B_cells",NA,0,130,203,"B2"
"f228","B_cells",NA,0,130,202,"B1"
"f229","B_cells",NA,0,130,2701,"B1"
"f230","B_cells",NA,0,130,24,"B1"
"f231","B_cells",NA,0,130,405,"B2"
"f232","B_cells",NA,0,130,266,"B1"
"f233","B_cells",NA,0,130,67,"B2"
"f234","B_cells",NA,0,130,189,"B2"
"f235","B_cells",NA,0,130,447,"B1"
"f236","B_cells",NA,0,130,403,"B2"
"f237","B_cells",NA,0,130,112,"B2"
"f238","B_cells",NA,0,130,19,"B1"
"f239","B_cells",NA,0,130,133,"B1"
"f240","B_cells",NA,0,130,123,"B2"
"f241","B_cells",NA,0,130,1897,"B1"
"f242","B_cells",NA,0,130,160,"B2"
"f243","B_cells",NA,0,130,569,"B2"
"f244","B_cells",NA,0,130,244,"B1"
"f245","B_cells",NA,0,130,572,"B1"
"f246","B_cells",NA,0,130,28,"B1"
"f247","B_cells",NA,0,130,21,"B2"
"f248","B_cells",NA,0,130,1594,"B1"
"f249","B_cells",NA,0,130,135,"B1"
"f250","B_cells",NA,0,130,200,"B1"
"f251","B_cells",NA,0,130,308,"B2"
"f252","B_cells",NA,0,130,132,"B2"
"f253","B_cells",NA,0,130,189,"B2"
"f254","B_cells",NA,0,130,306,"B2"
"f255","B_cells",NA,0,130,46,"B1"
"f256","B_cells",NA,0,130,239,"B1"
"f257","B_cells",NA,0,130,241,"B2"
"f258","B_cells",NA,0,130,172,"B2"
"f259","B_cells",NA,0,130,215,"B2"
"f260","B_cells",NA,0,130,41,"B1"
"f261","B_cells",NA,0,130,25,"B1"
"f262","B_cells",NA,0,130,887,"B1"
"f263","B_cells",NA,0,130,68,"B1"
"f264","B_cells",NA,0,130,179,"B2"
"f265","B_cells",NA,0,130,111,"B2"
