"blastomere","N0","total_tips","gini_obs","gini_z","p_gini","blast"
"B1",1970,410925,0.787156307315827,43.9635505002184,0,"Blastomere A"
"B2",1878,244776,0.780950855574354,42.163621182,0,"Blastomere B"
