"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f118","B_cells",NA,0,120,123,"Blastomere A"
"f119","B_cells",NA,0,120,144,"Blastomere A"
"f120","B_cells",NA,0,120,18,"Blastomere A"
"f121","B_cells",NA,0,120,36,"Blastomere B"
"f122","B_cells",NA,0,120,25,"Blastomere A"
"f123","B_cells",NA,0,120,25,"Blastomere A"
"f124","B_cells",NA,0,120,417,"Blastomere A"
"f125","B_cells",NA,0,120,363,"Blastomere B"
"f126","B_cells",NA,0,120,161,"Blastomere A"
"f127","B_cells",NA,0,120,14,"Blastomere A"
"f128","B_cells",NA,0,120,87,"Blastomere B"
"f129","B_cells",NA,0,120,69,"Blastomere A"
"f130","B_cells",NA,0,120,100,"Blastomere B"
"f131","B_cells",NA,0,120,31,"Blastomere A"
"f132","B_cells",NA,0,120,839,"Blastomere A"
"f133","B_cells",NA,0,120,24,"Blastomere A"
"f134","B_cells",NA,0,120,24,"Blastomere A"
"f135","B_cells",NA,0,120,113,"Blastomere A"
"f136","B_cells",NA,0,120,41,"Blastomere B"
"f137","B_cells",NA,0,120,143,"Blastomere B"
"f138","B_cells",NA,0,120,17,"Blastomere B"
"f139","B_cells",NA,0,120,51,"Blastomere B"
"f140","B_cells",NA,0,120,27,"Blastomere A"
"f141","B_cells",NA,0,120,27,"Blastomere B"
"f142","B_cells",NA,0,120,20,"Blastomere B"
"f143","B_cells",NA,0,120,20,"Blastomere B"
"f144","B_cells",NA,0,120,80,"Blastomere B"
"f145","B_cells",NA,0,120,220,"Blastomere B"
"f146","B_cells",NA,0,120,103,"Blastomere B"
"f147","B_cells",NA,0,120,508,"Blastomere A"
"f148","B_cells",NA,0,120,63,"Blastomere A"
"f149","B_cells",NA,0,120,53,"Blastomere B"
"f150","B_cells",NA,0,120,96,"Blastomere B"
"f151","B_cells",NA,0,120,112,"Blastomere A"
"f152","B_cells",NA,0,120,74,"Blastomere B"
"f153","B_cells",NA,0,120,949,"Blastomere A"
"f154","B_cells",NA,0,120,217,"Blastomere A"
"f155","B_cells",NA,0,120,153,"Blastomere B"
"f156","B_cells",NA,0,120,242,"Blastomere A"
"f157","B_cells",NA,0,120,241,"Blastomere A"
"f158","B_cells",NA,0,120,126,"Blastomere B"
"f159","B_cells",NA,0,120,44,"Blastomere A"
"f160","B_cells",NA,0,120,1568,"Blastomere A"
"f161","B_cells",NA,0,120,75,"Blastomere B"
"f162","B_cells",NA,0,120,118,"Blastomere A"
"f163","B_cells",NA,0,120,429,"Blastomere B"
"f164","B_cells",NA,0,120,40,"Blastomere B"
"f165","B_cells",NA,0,120,92,"Blastomere A"
"f166","B_cells",NA,0,120,119,"Blastomere A"
"f167","B_cells",NA,0,120,76,"Blastomere A"
"f168","B_cells",NA,0,120,85,"Blastomere B"
"f169","B_cells",NA,0,120,298,"Blastomere B"
"f170","B_cells",NA,0,120,18,"Blastomere A"
"f171","B_cells",NA,0,120,15,"Blastomere A"
"f172","B_cells",NA,0,120,30,"Blastomere A"
"f173","B_cells",NA,0,120,153,"Blastomere B"
"f174","B_cells",NA,0,120,18,"Blastomere A"
"f175","B_cells",NA,0,120,36,"Blastomere B"
"f176","B_cells",NA,0,120,117,"Blastomere B"
"f177","B_cells",NA,0,120,24,"Blastomere A"
"f178","B_cells",NA,0,120,48,"Blastomere A"
"f179","B_cells",NA,0,120,21,"Blastomere B"
"f180","B_cells",NA,0,120,213,"Blastomere A"
"f181","B_cells",NA,0,120,59,"Blastomere B"
"f182","B_cells",NA,0,120,903,"Blastomere A"
"f183","B_cells",NA,0,120,285,"Blastomere B"
"f184","B_cells",NA,0,120,160,"Blastomere A"
"f185","B_cells",NA,0,120,235,"Blastomere A"
"f186","B_cells",NA,0,120,23,"Blastomere A"
"f187","B_cells",NA,0,120,23,"Blastomere A"
"f188","B_cells",NA,0,120,112,"Blastomere A"
"f189","B_cells",NA,0,120,260,"Blastomere B"
"f190","B_cells",NA,0,120,20,"Blastomere B"
"f191","B_cells",NA,0,120,80,"Blastomere A"
"f192","B_cells",NA,0,120,20,"Blastomere B"
"f193","B_cells",NA,0,120,194,"Blastomere B"
"f194","B_cells",NA,0,120,385,"Blastomere A"
"f195","B_cells",NA,0,120,148,"Blastomere A"
"f196","B_cells",NA,0,120,71,"Blastomere A"
"f197","B_cells",NA,0,120,51,"Blastomere B"
"f198","B_cells",NA,0,120,48,"Blastomere A"
"f199","B_cells",NA,0,120,172,"Blastomere B"
"f200","B_cells",NA,0,120,87,"Blastomere A"
"f201","B_cells",NA,0,120,202,"Blastomere A"
"f202","B_cells",NA,0,120,39,"Blastomere A"
"f203","B_cells",NA,0,120,25,"Blastomere A"
"f204","B_cells",NA,0,120,154,"Blastomere A"
"f205","B_cells",NA,0,120,66,"Blastomere A"
"f206","B_cells",NA,0,120,22,"Blastomere B"
"f207","B_cells",NA,0,120,203,"Blastomere A"
"f208","B_cells",NA,1,120,126,"Blastomere A"
"f209","B_cells",NA,0,120,60,"Blastomere A"
"f210","B_cells",NA,0,120,128,"Blastomere B"
"f211","B_cells",NA,0,120,294,"Blastomere B"
"f212","B_cells",NA,0,120,57,"Blastomere A"
"f213","B_cells",NA,0,120,38,"Blastomere B"
"f214","B_cells",NA,0,120,627,"Blastomere A"
"f215","B_cells",NA,0,120,99,"Blastomere B"
"f216","B_cells",NA,0,120,16,"Blastomere A"
"f217","B_cells",NA,0,120,16,"Blastomere B"
"f218","B_cells",NA,0,120,128,"Blastomere B"
"f219","B_cells",NA,0,120,1194,"Blastomere A"
"f220","B_cells",NA,0,120,234,"Blastomere B"
"f221","B_cells",NA,0,120,63,"Blastomere A"
"f222","B_cells",NA,0,120,341,"Blastomere A"
"f223","B_cells",NA,0,120,34,"Blastomere A"
"f224","B_cells",NA,0,120,73,"Blastomere B"
"f225","B_cells",NA,0,120,26,"Blastomere B"
"f226","B_cells",NA,0,120,101,"Blastomere B"
"f227","B_cells",NA,0,120,44,"Blastomere B"
"f228","B_cells",NA,0,120,44,"Blastomere B"
"f229","B_cells",NA,0,120,106,"Blastomere A"
"f230","B_cells",NA,0,120,169,"Blastomere B"
"f231","B_cells",NA,0,120,92,"Blastomere A"
"f232","B_cells",NA,0,120,23,"Blastomere B"
"f233","B_cells",NA,0,120,28,"Blastomere B"
"f234","B_cells",NA,0,120,1300,"Blastomere A"
"f235","B_cells",NA,0,120,193,"Blastomere B"
"f236","B_cells",NA,0,120,236,"Blastomere B"
"f237","B_cells",NA,0,120,130,"Blastomere A"
"f238","B_cells",NA,0,120,25,"Blastomere B"
"f239","B_cells",NA,0,120,45,"Blastomere A"
"f240","B_cells",NA,0,120,25,"Blastomere B"
"f241","B_cells",NA,0,120,57,"Blastomere B"
"f242","B_cells",NA,0,120,104,"Blastomere B"
"f243","B_cells",NA,0,120,116,"Blastomere B"
"f244","B_cells",NA,0,120,1620,"Blastomere A"
"f245","B_cells",NA,0,120,824,"Blastomere A"
"f246","B_cells",NA,0,120,59,"Blastomere A"
"f247","B_cells",NA,0,120,27,"Blastomere A"
"f248","B_cells",NA,0,120,22,"Blastomere A"
"f249","B_cells",NA,0,120,655,"Blastomere A"
"f250","B_cells",NA,0,120,832,"Blastomere B"
"f251","B_cells",NA,0,120,34,"Blastomere A"
"f252","B_cells",NA,0,120,34,"Blastomere B"
"f253","B_cells",NA,0,120,29,"Blastomere A"
"f254","B_cells",NA,0,120,58,"Blastomere A"
"f255","B_cells",NA,0,120,70,"Blastomere A"
"f256","B_cells",NA,0,120,65,"Blastomere A"
"f257","B_cells",NA,0,120,375,"Blastomere B"
"f258","B_cells",NA,0,120,24,"Blastomere B"
"f259","B_cells",NA,0,120,24,"Blastomere A"
"f260","B_cells",NA,0,120,24,"Blastomere B"
"f261","B_cells",NA,0,120,31,"Blastomere A"
"f262","B_cells",NA,0,120,1181,"Blastomere A"
"f263","B_cells",NA,0,120,52,"Blastomere A"
"f264","B_cells",NA,0,120,59,"Blastomere B"
"f265","B_cells",NA,0,120,106,"Blastomere A"
"f266","B_cells",NA,0,120,87,"Blastomere A"
"f267","B_cells",NA,0,120,54,"Blastomere A"
"f268","B_cells",NA,0,120,75,"Blastomere B"
"f269","B_cells",NA,0,120,164,"Blastomere A"
"f270","B_cells",NA,0,120,110,"Blastomere A"
"f271","B_cells",NA,0,120,21,"Blastomere A"
"f272","B_cells",NA,0,120,491,"Blastomere B"
"f273","B_cells",NA,0,120,223,"Blastomere B"
"f274","B_cells",NA,0,120,157,"Blastomere B"
"f275","B_cells",NA,0,120,23,"Blastomere A"
"f276","B_cells",NA,0,120,78,"Blastomere A"
"f277","B_cells",NA,0,120,25,"Blastomere B"
"f278","B_cells",NA,0,120,34,"Blastomere A"
"f279","B_cells",NA,0,120,133,"Blastomere B"
"f280","B_cells",NA,0,120,72,"Blastomere A"
"f281","B_cells",NA,0,120,18,"Blastomere A"
"f282","B_cells",NA,0,120,63,"Blastomere B"
"f283","B_cells",NA,0,120,27,"Blastomere B"
"f284","B_cells",NA,0,120,27,"Blastomere B"
"f285","B_cells",NA,0,120,271,"Blastomere A"
"f286","B_cells",NA,0,120,29,"Blastomere B"
"f287","B_cells",NA,0,120,3199,"Blastomere B"
"f288","B_cells",NA,0,120,132,"Blastomere B"
"f289","B_cells",NA,0,120,22,"Blastomere B"
"f290","B_cells",NA,0,120,55,"Blastomere B"
"f291","B_cells",NA,0,120,408,"Blastomere A"
"f292","B_cells",NA,0,120,24,"Blastomere A"
"f293","B_cells",NA,0,120,37,"Blastomere A"
"f294","B_cells",NA,0,120,39,"Blastomere A"
"f295","B_cells",NA,0,120,52,"Blastomere B"
"f296","B_cells",NA,0,120,67,"Blastomere B"
"f297","B_cells",NA,0,120,41,"Blastomere B"
"f298","B_cells",NA,0,120,28,"Blastomere A"
"f299","B_cells",NA,0,120,28,"Blastomere B"
"f300","B_cells",NA,0,120,174,"Blastomere A"
"f301","B_cells",NA,0,120,30,"Blastomere A"
"f302","B_cells",NA,0,120,75,"Blastomere B"
"f303","B_cells",NA,0,120,83,"Blastomere B"
"f304","B_cells",NA,0,120,87,"Blastomere A"
"f305","B_cells",NA,0,120,36,"Blastomere A"
"f306","B_cells",NA,0,120,99,"Blastomere A"
"f307","B_cells",NA,0,120,21,"Blastomere B"
"f308","B_cells",NA,0,120,21,"Blastomere B"
"f309","B_cells",NA,0,120,23,"Blastomere B"
"f310","B_cells",NA,0,120,23,"Blastomere A"
"f311","B_cells",NA,0,120,25,"Blastomere A"
"f312","B_cells",NA,0,120,29,"Blastomere A"
"f313","B_cells",NA,0,120,227,"Blastomere A"
"f314","B_cells",NA,0,120,132,"Blastomere A"
"f315","B_cells",NA,0,120,33,"Blastomere B"
"f316","B_cells",NA,0,120,183,"Blastomere B"
"f317","B_cells",NA,0,120,37,"Blastomere A"
"f318","B_cells",NA,0,120,43,"Blastomere B"
"f319","B_cells",NA,0,120,47,"Blastomere A"
"f320","B_cells",NA,0,120,49,"Blastomere B"
"f321","B_cells",NA,0,120,59,"Blastomere A"
"f322","B_cells",NA,0,120,158,"Blastomere A"
"f323","B_cells",NA,0,120,269,"Blastomere A"
"f324","B_cells",NA,0,120,252,"Blastomere B"
"f325","B_cells",NA,0,120,1111,"Blastomere A"
"f326","B_cells",NA,0,120,144,"Blastomere A"
"f327","B_cells",NA,0,120,30,"Blastomere B"
