"T","gini_null_median","gini_null_lo","gini_null_hi"
7,0,0,0
7.1324494,0.0903691500614972,0.0830166880332326,0.0979882814462175
7.2648988,0.158822359097775,0.150885075965764,0.166782287394282
7.3973482,0.212174822094664,0.204344856307852,0.220067178828822
7.5297976,0.25483262129192,0.24711959761882,0.262483053190621
7.662247,0.289360416105405,0.282046331817696,0.296660534295941
7.7946964,0.318024587352405,0.310768911911886,0.325391139955273
7.9271458,0.341833203938296,0.334367969882211,0.349130963657123
8.0595952,0.361796405920976,0.354473455800718,0.369062951466771
8.1920446,0.378859105745643,0.371469265820521,0.386416737487039
8.324494,0.393482604193259,0.386006425015675,0.401054894260683
8.4569434,0.406046749969446,0.398380288074541,0.413633675423528
8.5893928,0.416808490428117,0.409175694361935,0.424493457140413
8.7218422,0.426341188419831,0.418255260212412,0.434385191746898
8.8542916,0.434623507231314,0.426651435211926,0.442592712856302
8.986741,0.441878787228628,0.43360800920304,0.449772459495486
9.1191904,0.448176880591781,0.440115755033469,0.456533334344752
9.2516398,0.453804056862165,0.445733376955025,0.4621226247089
9.3840892,0.458879096415323,0.450474782916685,0.467138916747315
9.5165386,0.463133924880864,0.454680540026383,0.471457296122832
9.648988,0.466996350526203,0.458521926832247,0.475735109166716
9.7814374,0.470486387171432,0.462042257630221,0.478813581835874
9.9138868,0.473614432831296,0.46498060082779,0.482372536056444
10.0463362,0.476390181157319,0.467656139386389,0.484796561778873
10.1787856,0.478708004632128,0.470132703200246,0.487411523070887
10.311235,0.48096556458786,0.472115647637036,0.489525796863196
10.4436844,0.482923867417336,0.474038967919284,0.49154635597147
10.5761338,0.484560918763753,0.475577469569629,0.493466875666387
10.7085832,0.486167621329247,0.477228513400335,0.495034988763281
10.8410326,0.487599480169473,0.478739292743156,0.496590539046841
10.973482,0.488865072155747,0.479958741861298,0.497572159432543
11.1059314,0.489950518551658,0.481118656478395,0.49884404313516
11.2383808,0.491014761441636,0.482035357162029,0.499802418479456
11.3708302,0.491837734818144,0.48277218320321,0.500776061335359
11.5032796,0.492609886672987,0.483845896171736,0.501553911937998
11.635729,0.493294136112155,0.484061431194141,0.502499662047242
11.7681784,0.494121420031709,0.485062958481509,0.503175695810028
11.9006278,0.49465760232661,0.485684688904091,0.503524402004016
12.0330772,0.49508663449935,0.486092561796516,0.50431407463443
12.1655266,0.495673920834692,0.486526528838529,0.504685780732002
12.297976,0.496105031543548,0.486914546855922,0.505237463151993
12.4304254,0.496400655020732,0.48750774527042,0.50546877932798
12.5628748,0.496833518910752,0.487678065798527,0.505874355214156
12.6953242,0.497075219034345,0.487952549035951,0.506295385163139
12.8277736,0.49724866166572,0.48822442278599,0.50652823205141
12.960223,0.497648440309506,0.488413754916805,0.506636384291882
13.0926724,0.497825043289068,0.488854290085697,0.506880792346983
13.2251218,0.49813755549143,0.488907765181285,0.50715136792049
13.3575712,0.498275115511433,0.489122074585508,0.507235786551256
13.4900206,0.498373648966597,0.489392927417368,0.507582487088996
