"T0","T","gini_diff"
5.5,5.5,0
5.5,5.66306164489796,0.0169082125603864
5.5,5.82612328979592,0.235917487684729
5.5,5.98918493469388,0.27224682674428
5.5,6.15224657959184,0.280299949812791
5.5,6.3153082244898,0.301652960526316
5.5,6.47836986938776,0.274512535219366
5.5,6.64143151428571,0.286810846560847
5.5,6.80449315918367,0.279436541024987
5.5,6.96755480408163,0.274352617335947
5.5,7.13061644897959,0.273481338087269
5.5,7.29367809387755,0.267653078972298
5.5,7.45673973877551,0.267885797390838
5.5,7.61980138367347,0.268207430852645
5.5,7.78286302857143,0.263796639709351
5.5,7.94592467346939,0.265778943880397
5.5,8.10898631836735,0.268057551970014
5.5,8.2720479632653,0.263617767455848
5.5,8.43510960816326,0.254955720896868
5.5,8.59817125306122,0.267902042943886
5.5,8.76123289795918,0.257358710821919
5.5,8.92429454285714,0.258339817624424
5.5,9.0873561877551,0.269096091720331
5.5,9.25041783265306,0.261021010679095
5.5,9.41347947755102,0.258184114112859
5.5,9.57654112244898,0.264127857677186
5.5,9.73960276734694,0.259563581764513
5.5,9.9026644122449,0.259160957800879
5.5,10.0657260571429,0.256369574935817
5.5,10.2287877020408,0.271875048087981
5.5,10.3918493469388,0.269074499878765
5.5,10.5549109918367,0.258885927114387
5.5,10.7179726367347,0.263119310567709
5.5,10.8810342816327,0.26927788668299
5.5,11.0440959265306,0.256449755285225
5.5,11.2071575714286,0.267765377151921
5.5,11.3702192163265,0.274007909774802
5.5,11.5332808612245,0.26404561154366
5.5,11.6963425061224,0.259179730403361
5.5,11.8594041510204,0.276508724361739
5.5,12.0224657959184,0.27330395807484
5.5,12.1855274408163,0.258719064480085
5.5,12.3485890857143,0.272982624444489
5.5,12.5116507306122,0.261457252889136
5.5,12.6747123755102,0.277572202179473
5.5,12.8377740204082,0.267494215279028
5.5,13.0008356653061,0.26998458904489
5.5,13.1638973102041,0.268043092826116
5.5,13.326958955102,0.274323301461504
5.5,13.4900206,0.278471101803567
6,6,0
6,6.15285756326531,0.116748393283842
6,6.30571512653061,0.157219693622709
6,6.45857268979592,0.179727229495393
6,6.61143025306122,0.206003527927935
6,6.76428781632653,0.237296560186616
6,6.91714537959184,0.247733194798746
6,7.07000294285714,0.254608044115437
6,7.22286050612245,0.263231296000805
6,7.37571806938776,0.269673461787417
6,7.52857563265306,0.273413860548432
6,7.68143319591837,0.273253965291297
6,7.83429075918367,0.276261680429897
6,7.98714832244898,0.281666787689471
6,8.14000588571428,0.282808839320515
6,8.29286344897959,0.287290837826218
6,8.4457210122449,0.286843940961791
6,8.5985785755102,0.282860083017056
6,8.75143613877551,0.284279816409848
6,8.90429370204082,0.282168952457602
6,9.05715126530612,0.287700068026736
6,9.21000882857143,0.283282259349546
6,9.36286639183673,0.285028342606426
6,9.51572395510204,0.284567198696641
6,9.66858151836735,0.283713089515186
6,9.82143908163265,0.284539132946407
6,9.97429664489796,0.284502875873308
6,10.1271542081633,0.283398556085613
6,10.2800117714286,0.288301806236244
6,10.4328693346939,0.283321729885874
6,10.5857268979592,0.286564938925434
6,10.7385844612245,0.286360367334673
6,10.8914420244898,0.282851546035786
6,11.0442995877551,0.286847071117536
6,11.1971571510204,0.285654529578037
6,11.3500147142857,0.285820149516604
6,11.502872277551,0.283313534364858
6,11.6557298408163,0.285049316248274
6,11.8085874040816,0.28252142362079
6,11.9614449673469,0.287250601326895
6,12.1143025306122,0.290157139024924
6,12.2671600938775,0.288024860934817
6,12.4200176571429,0.286219076454565
6,12.5728752204082,0.282827168303016
6,12.7257327836735,0.285001137262406
6,12.8785903469388,0.284593049061749
6,13.0314479102041,0.284188463203272
6,13.1843054734694,0.286850192406593
6,13.3371630367347,0.281605539045364
6,13.4900206,0.281921458936132
6.5,6.5,0
6.5,6.64265348163265,0.145264247210829
6.5,6.78530696326531,0.190507538955607
6.5,6.92796044489796,0.206178228571001
6.5,7.07061392653061,0.216526470536017
6.5,7.21326740816327,0.225865836398167
6.5,7.35592088979592,0.227070913332835
6.5,7.49857437142857,0.22307672049382
6.5,7.64122785306122,0.229275198964098
6.5,7.78388133469388,0.230420243846852
6.5,7.92653481632653,0.231265299952786
6.5,8.06918829795918,0.22668136732419
6.5,8.21184177959184,0.229569150314649
6.5,8.35449526122449,0.224712334905308
6.5,8.49714874285714,0.223170365606411
6.5,8.6398022244898,0.222688883429722
6.5,8.78245570612245,0.220581010026143
6.5,8.9251091877551,0.219026418251158
6.5,9.06776266938775,0.219886488956924
6.5,9.21041615102041,0.21867762364806
6.5,9.35306963265306,0.217576513341406
6.5,9.49572311428571,0.21655095698229
6.5,9.63837659591837,0.216691448205794
6.5,9.78103007755102,0.216181148605545
6.5,9.92368355918367,0.218336108547957
6.5,10.0663370408163,0.215362374822477
6.5,10.208990522449,0.217030455650528
6.5,10.3516440040816,0.217341526345898
6.5,10.4942974857143,0.21799365168185
6.5,10.6369509673469,0.216873804662782
6.5,10.7796044489796,0.218670382625434
6.5,10.9222579306122,0.220914996734544
6.5,11.0649114122449,0.219255965103115
6.5,11.2075648938775,0.223093132393312
6.5,11.3502183755102,0.221704627565461
6.5,11.4928718571429,0.22178881709203
6.5,11.6355253387755,0.223522904191396
6.5,11.7781788204082,0.223947160852172
6.5,11.9208323020408,0.224869811352398
6.5,12.0634857836735,0.226340442279145
6.5,12.2061392653061,0.226033848392635
6.5,12.3487927469388,0.229744327349036
6.5,12.4914462285714,0.227031785413564
6.5,12.6340997102041,0.228612646141219
6.5,12.7767531918367,0.228527340499018
6.5,12.9194066734694,0.227987855854543
6.5,13.062060155102,0.229617560865547
6.5,13.2047136367347,0.230110581126768
6.5,13.3473671183673,0.230480019277078
6.5,13.4900206,0.230612352736479
7,7,0
7,7.1324494,0.135651512005264
7,7.2648988,0.19655537944531
7,7.3973482,0.222170472938399
7,7.5297976,0.23800223620817
7,7.662247,0.239702852678994
7,7.7946964,0.246092214834856
7,7.9271458,0.245313875187231
7,8.0595952,0.240599169612101
7,8.1920446,0.239170784882303
7,8.324494,0.235730756471091
7,8.4569434,0.232960492488409
7,8.5893928,0.229278549358889
7,8.7218422,0.228329624657102
7,8.8542916,0.226156860843678
7,8.986741,0.224462340382753
7,9.1191904,0.22432211639
7,9.2516398,0.22398999466126
7,9.3840892,0.223537302902791
7,9.5165386,0.223764636293074
7,9.648988,0.224196389335926
7,9.7814374,0.224813940067318
7,9.9138868,0.226571578870157
7,10.0463362,0.227483455635379
7,10.1787856,0.228812641041002
7,10.311235,0.231161515249772
7,10.4436844,0.233163094535889
7,10.5761338,0.235720100886417
7,10.7085832,0.236391830148042
7,10.8410326,0.238388037472723
7,10.973482,0.241319197436431
7,11.1059314,0.242745739141503
7,11.2383808,0.246504738181725
7,11.3708302,0.248650944673618
7,11.5032796,0.250143870964445
7,11.635729,0.252273217123922
7,11.7681784,0.254847597838326
7,11.9006278,0.25668134238608
7,12.0330772,0.259759061716344
7,12.1655266,0.260528401940116
7,12.297976,0.26231548554709
7,12.4304254,0.264718061790727
7,12.5628748,0.26609810807652
7,12.6953242,0.268193077089382
7,12.8277736,0.270610728544224
7,12.960223,0.272530046295729
7,13.0926724,0.274588157963365
7,13.2251218,0.276968665780258
7,13.3575712,0.278749452220131
7,13.4900206,0.281014821761798
7.5,7.5,0
7.5,7.62224531836735,0.106191237872011
7.5,7.74449063673469,0.149013750148062
7.5,7.86673595510204,0.180693912081905
7.5,7.98898127346939,0.186580077036959
7.5,8.11122659183673,0.192604262326442
7.5,8.23347191020408,0.189810388804751
7.5,8.35571722857143,0.188303548025618
7.5,8.47796254693877,0.184984609221847
7.5,8.60020786530612,0.183463276209594
7.5,8.72245318367347,0.181509054975001
7.5,8.84469850204082,0.181035048163511
7.5,8.96694382040816,0.179636334165167
7.5,9.08918913877551,0.180149025058387
7.5,9.21143445714286,0.180617008013796
7.5,9.3336797755102,0.180921694249898
7.5,9.45592509387755,0.182699008752927
7.5,9.5781704122449,0.183770442056895
7.5,9.70041573061224,0.185614619934088
7.5,9.82266104897959,0.187868535113893
7.5,9.94490636734694,0.190041670882338
7.5,10.0671516857143,0.193625269328752
7.5,10.1893970040816,0.196691385185102
7.5,10.311642322449,0.199904388701096
7.5,10.4338876408163,0.203307707808288
7.5,10.5561329591837,0.207102015733595
7.5,10.678378277551,0.210436164661503
7.5,10.8006235959184,0.213653662366872
7.5,10.9228689142857,0.217787730943818
7.5,11.0451142326531,0.221225365668956
7.5,11.1673595510204,0.224830731928298
7.5,11.2896048693878,0.228453332023227
7.5,11.4118501877551,0.231459250523744
7.5,11.5340955061224,0.235123698357741
7.5,11.6563408244898,0.23848507428608
7.5,11.7785861428571,0.241714677571538
7.5,11.9008314612245,0.244962971122668
7.5,12.0230767795918,0.248414972756641
7.5,12.1453220979592,0.251359452102119
7.5,12.2675674163265,0.254578113981141
7.5,12.3898127346939,0.257149420822144
7.5,12.5120580530612,0.259702437628021
7.5,12.6343033714286,0.262194744309073
7.5,12.7565486897959,0.265356622114447
7.5,12.8787940081633,0.268635054417915
7.5,13.0010393265306,0.2718012793146
